D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID14_108dBm_.dat
Power at KID:108dBm
resonance Frequency in GHz :5.697048
Q=28485.240002, Qc=30324.023002, Qi=469760.201675  S21min=-24.345127


Temperature in K:0.099960
GHz	dB	Rad
5.696133000	1.192317486	0.005129193
5.696134000	1.175720572	0.006873340
5.696135000	1.190732241	0.005462615
5.696136000	1.189100504	0.005551627
5.696137000	1.187590480	0.006253648
5.696138000	1.174093843	0.002151670
5.696139000	1.177687407	0.008680413
5.696140000	1.179615855	0.003506049
5.696141000	1.189499974	0.005051066
5.696142000	1.174445152	0.004124586
5.696143000	1.180335402	0.002502346
5.696144000	1.164647341	0.003486654
5.696145000	1.182191133	0.001849513
5.696146000	1.190086603	0.004768829
5.696147000	1.167233586	0.004203486
5.696148000	1.190429091	0.005111339
5.696149000	1.208029389	0.003162800
5.696150000	1.170641661	0.003365323
5.696151000	1.167978883	0.004637208
5.696152000	1.180477381	0.002194803
5.696153000	1.212475777	0.003419328
5.696154000	1.210954309	0.000792591
5.696155000	1.176536679	0.000951746
5.696156000	1.154236913	0.006659013
5.696157000	1.179878831	0.003472856
5.696158000	1.160827279	0.004510096
5.696159000	1.186764479	0.005108198
5.696160000	1.174421906	0.003126175
5.696161000	1.182529807	0.001776410
5.696162000	1.173786521	-0.000562248
5.696163000	1.175799370	0.003532798
5.696164000	1.174596786	0.000246128
5.696165000	1.197413921	0.001793275
5.696166000	1.190180898	0.000764436
5.696167000	1.170631766	0.001066079
5.696168000	1.187566996	0.002188491
5.696169000	1.185669780	0.003549226
5.696170000	1.177643657	0.000316479
5.696171000	1.195874095	0.001348125
5.696172000	1.194010615	0.000351722
5.696173000	1.184496880	0.000199068
5.696174000	1.189506531	0.001203833
5.696175000	1.198843956	0.002613478
5.696176000	1.196959257	0.000568353
5.696177000	1.157365322	0.003409070
5.696178000	1.210638404	0.000540863
5.696179000	1.189537406	-0.002776667
5.696180000	1.188662767	-0.000557604
5.696181000	1.159496665	0.000770620
5.696182000	1.160058618	0.000037450
5.696183000	1.190304518	-0.000386106
5.696184000	1.184396863	-0.001167598
5.696185000	1.169595003	0.001868367
5.696186000	1.199637771	-0.003470200
5.696187000	1.171230078	0.000749458
5.696188000	1.173184633	-0.001128788
5.696189000	1.186504006	-0.000132389
5.696190000	1.209372163	-0.001077279
5.696191000	1.220048666	-0.000538184
5.696192000	1.190623641	-0.006515239
5.696193000	1.176756382	0.000686100
5.696194000	1.178398490	0.000546212
5.696195000	1.188033581	-0.001977428
5.696196000	1.178557038	-0.001813301
5.696197000	1.177778959	-0.001593664
5.696198000	1.194506168	-0.003778774
5.696199000	1.183784962	-0.002051254
5.696200000	1.169061542	-0.005070604
5.696201000	1.171710372	-0.000850278
5.696202000	1.189664841	-0.000938543
5.696203000	1.183386922	-0.003553209
5.696204000	1.177029967	-0.002985407
5.696205000	1.185058236	-0.001622727
5.696206000	1.213576317	-0.002677763
5.696207000	1.189267635	-0.004136785
5.696208000	1.201315761	-0.006159034
5.696209000	1.199721217	-0.000351004
5.696210000	1.175522208	-0.002255933
5.696211000	1.175741196	-0.006150566
5.696212000	1.197585940	-0.000815173
5.696213000	1.204296589	-0.005412297
5.696214000	1.174692392	-0.005896130
5.696215000	1.187029719	-0.005263351
5.696216000	1.195905209	-0.003163202
5.696217000	1.182149291	-0.006564844
5.696218000	1.179571509	-0.007313683
5.696219000	1.196743250	-0.005432571
5.696220000	1.183046460	-0.006286826
5.696221000	1.192715526	-0.006938743
5.696222000	1.193693638	-0.006306407
5.696223000	1.172930598	-0.005650328
5.696224000	1.177899599	-0.003580387
5.696225000	1.175573826	-0.000581606
5.696226000	1.185770512	-0.007226427
5.696227000	1.164567232	-0.007260587
5.696228000	1.182776809	-0.005310046
5.696229000	1.204983950	-0.004016962
5.696230000	1.179537535	-0.002558132
5.696231000	1.166986704	-0.004357686
5.696232000	1.208434701	-0.004647804
5.696233000	1.197535276	-0.007089507
5.696234000	1.189085364	-0.008964442
5.696235000	1.185609937	-0.008536342
5.696236000	1.166036844	-0.006440140
5.696237000	1.180418730	-0.003823633
5.696238000	1.173246741	-0.007197575
5.696239000	1.187061906	-0.004778581
5.696240000	1.180262685	-0.007601029
5.696241000	1.205296874	-0.007608383
5.696242000	1.226924896	-0.008162254
5.696243000	1.194663763	-0.006704684
5.696244000	1.168508887	-0.009092344
5.696245000	1.202080846	-0.007365198
5.696246000	1.180681705	-0.010845986
5.696247000	1.187168598	-0.009119825
5.696248000	1.182669520	-0.008257753
5.696249000	1.171607375	-0.005911738
5.696250000	1.172666073	-0.011944886
5.696251000	1.180760741	-0.007464263
5.696252000	1.175915837	-0.010302482
5.696253000	1.162398219	-0.007187951
5.696254000	1.161561608	-0.009986770
5.696255000	1.225130558	-0.010427683
5.696256000	1.192470193	-0.008292136
5.696257000	1.186408401	-0.009112562
5.696258000	1.182839513	-0.004932400
5.696259000	1.194278836	-0.009974489
5.696260000	1.192900777	-0.012188486
5.696261000	1.212465048	-0.010790602
5.696262000	1.204524994	-0.010404177
