D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID239_108dBm_.dat
Power at KID:108dBm
resonance Frequency in GHz :7.095071
Q=38770.879780, Qc=42147.586027, Qi=483932.824222  S21min=-21.925588


Temperature in K:0.100015
GHz	dB	Rad
7.094195000	1.416782856	-0.053112137
7.094196000	1.437137842	-0.053549341
7.094197000	1.420454144	-0.053697954
7.094198000	1.390910387	-0.052618728
7.094199000	1.456925750	-0.052590819
7.094200000	1.436814070	-0.051728167
7.094201000	1.439652324	-0.049333320
7.094202000	1.401404858	-0.048974763
7.094203000	1.446491480	-0.054170569
7.094204000	1.391007423	-0.054524828
7.094205000	1.451813221	-0.050929119
7.094206000	1.397723317	-0.054903804
7.094207000	1.433222413	-0.052824233
7.094208000	1.402871966	-0.054141482
7.094209000	1.434452057	-0.056246453
7.094210000	1.397771597	-0.054394050
7.094211000	1.395462871	-0.049617683
7.094212000	1.426185608	-0.051650715
7.094213000	1.435284495	-0.054141345
7.094214000	1.440971851	-0.055213692
7.094215000	1.428771377	-0.053014295
7.094216000	1.448097110	-0.057092456
7.094217000	1.443906546	-0.054786071
7.094218000	1.452033639	-0.056053045
7.094219000	1.412849426	-0.053092218
7.094220000	1.396249413	-0.053330388
7.094221000	1.411932468	-0.055000780
7.094222000	1.369751811	-0.055599214
7.094223000	1.379527688	-0.055681780
7.094224000	1.413112640	-0.056204009
7.094225000	1.408050179	-0.057801273
7.094226000	1.413454175	-0.054743028
7.094227000	1.421093225	-0.053591810
7.094228000	1.409649253	-0.052816755
7.094229000	1.419889092	-0.054117285
7.094230000	1.427023292	-0.050903054
7.094231000	1.416801333	-0.057048631
7.094232000	1.430807829	-0.053580770
7.094233000	1.424730897	-0.059520847
7.094234000	1.485035062	-0.062001661
7.094235000	1.451904535	-0.061079084
7.094236000	1.449492097	-0.057832411
7.094237000	1.375015020	-0.056294195
7.094238000	1.440208673	-0.056927973
7.094239000	1.413438678	-0.060603476
7.094240000	1.433666825	-0.058164345
7.094241000	1.430606484	-0.056167282
7.094242000	1.432282925	-0.057660226
7.094243000	1.483167529	-0.061244986
7.094244000	1.389466643	-0.059543721
7.094245000	1.418318272	-0.059081047
7.094246000	1.460598826	-0.062921367
7.094247000	1.402692556	-0.056519843
7.094248000	1.396569967	-0.057528029
7.094249000	1.418810368	-0.060622381
7.094250000	1.416090250	-0.061145018
7.094251000	1.443557858	-0.059204197
7.094252000	1.416727424	-0.059583943
7.094253000	1.455956221	-0.061974934
7.094254000	1.379436851	-0.059210893
7.094255000	1.402012706	-0.067338444
7.094256000	1.421885610	-0.061093698
7.094257000	1.390559077	-0.059459890
7.094258000	1.443278313	-0.062449114
7.094259000	1.425708890	-0.058528046
7.094260000	1.427071214	-0.058557137
7.094261000	1.461089253	-0.057889932
7.094262000	1.464018106	-0.062548703
7.094263000	1.396606803	-0.061788862
7.094264000	1.459923863	-0.058438955
7.094265000	1.422419786	-0.058132059
7.094266000	1.442063570	-0.061217843
7.094267000	1.408719540	-0.066996611
7.094268000	1.430805326	-0.060906036
7.094269000	1.433262825	-0.064897836
7.094270000	1.417673707	-0.062075688
7.094271000	1.465208888	-0.060938756
7.094272000	1.446408391	-0.062358587
7.094273000	1.426610947	-0.061706408
7.094274000	1.435466528	-0.064267175
7.094275000	1.413842082	-0.065459721
7.094276000	1.388073444	-0.059276739
7.094277000	1.453541040	-0.064016509
7.094278000	1.416428685	-0.062732124
7.094279000	1.423135519	-0.064183281
7.094280000	1.457783461	-0.065983877
7.094281000	1.419202685	-0.060903028
7.094282000	1.433445334	-0.064084540
7.094283000	1.446395278	-0.066875504
7.094284000	1.427366853	-0.070301461
7.094285000	1.387389421	-0.062719295
7.094286000	1.424434543	-0.060573707
7.094287000	1.392826319	-0.066049487
7.094288000	1.413753271	-0.066035285
7.094289000	1.422725916	-0.065994280
7.094290000	1.412464380	-0.068098257
7.094291000	1.412471294	-0.063194233
7.094292000	1.394378901	-0.062706300
7.094293000	1.406495690	-0.063222541
7.094294000	1.437454224	-0.066373914
7.094295000	1.479874134	-0.064891228
7.094296000	1.439780354	-0.065734922
7.094297000	1.422486186	-0.065498054
7.094298000	1.396282077	-0.067716072
7.094299000	1.424569964	-0.065969005
7.094300000	1.421183109	-0.064286649
7.094301000	1.432373405	-0.066041352
7.094302000	1.451386690	-0.068147766
7.094303000	1.468885303	-0.067135104
7.094304000	1.433186650	-0.072832105
7.094305000	1.445497870	-0.069639341
7.094306000	1.409313798	-0.066404261
7.094307000	1.432723165	-0.065307468
