D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID236_92dBm_.dat
Power at KID:92dBm
resonance Frequency in GHz :7.058102
Q=17470.549506, Qc=19123.028599, Qi=202174.913610  S21min=-21.268414


Temperature in K:0.099968
GHz	dB	Rad
7.057453000	-6.231700897	-0.584340753
7.057454000	-6.227535248	-0.584880509
7.057455000	-6.229687691	-0.585828128
7.057456000	-6.230486393	-0.585404952
7.057457000	-6.226281166	-0.586502574
7.057458000	-6.228247166	-0.587208112
7.057459000	-6.230721951	-0.587210575
7.057460000	-6.229822159	-0.588264921
7.057461000	-6.229581833	-0.588870857
7.057462000	-6.228787899	-0.588566124
7.057463000	-6.224191189	-0.589143897
7.057464000	-6.229093075	-0.589524596
7.057465000	-6.234704494	-0.589437710
7.057466000	-6.236554623	-0.590233929
7.057467000	-6.230821133	-0.590648983
7.057468000	-6.227412224	-0.591860455
7.057469000	-6.230496407	-0.591197061
7.057470000	-6.223583698	-0.591393336
7.057471000	-6.221962929	-0.592189688
7.057472000	-6.230786800	-0.592373845
7.057473000	-6.229235172	-0.592998556
7.057474000	-6.233265400	-0.593596769
7.057475000	-6.228814602	-0.593298628
7.057476000	-6.231889725	-0.594259896
7.057477000	-6.229104519	-0.594528409
7.057478000	-6.224874496	-0.594656507
7.057479000	-6.226505756	-0.595319102
7.057480000	-6.229099274	-0.596119382
7.057481000	-6.229596138	-0.595708190
7.057482000	-6.223619938	-0.596195548
7.057483000	-6.226090431	-0.596797223
7.057484000	-6.224906445	-0.597668809
7.057485000	-6.228471756	-0.598182133
7.057486000	-6.228376389	-0.597537449
7.057487000	-6.227321148	-0.597735921
7.057488000	-6.229080200	-0.598460700
7.057489000	-6.231798172	-0.598731943
7.057490000	-6.224189281	-0.598778415
7.057491000	-6.221270561	-0.599006581
7.057492000	-6.226747513	-0.600185230
7.057493000	-6.224958897	-0.600572187
7.057494000	-6.225467205	-0.600874989
7.057495000	-6.223405361	-0.602029003
7.057496000	-6.224800110	-0.601700569
7.057497000	-6.231518745	-0.600801552
7.057498000	-6.230612278	-0.602046313
7.057499000	-6.228020668	-0.603504394
7.057500000	-6.229961872	-0.602826486
7.057501000	-6.230049133	-0.603430425
7.057502000	-6.226658344	-0.603457190
7.057503000	-6.218619823	-0.604844164
7.057504000	-6.228823185	-0.604647023
7.057505000	-6.226311207	-0.604236830
7.057506000	-6.225606441	-0.605135514
7.057507000	-6.228985786	-0.605671408
7.057508000	-6.222852707	-0.606034996
7.057509000	-6.231657982	-0.607275364
7.057510000	-6.229991913	-0.607523570
7.057511000	-6.228058815	-0.607806065
7.057512000	-6.224613190	-0.608210000
7.057513000	-6.233009338	-0.608367526
7.057514000	-6.230473995	-0.608716933
7.057515000	-6.227299690	-0.609440247
7.057516000	-6.228702545	-0.610197517
7.057517000	-6.223886967	-0.610394325
7.057518000	-6.222625732	-0.610750123
7.057519000	-6.220298767	-0.611273301
7.057520000	-6.230283260	-0.611055521
7.057521000	-6.228199482	-0.611776505
7.057522000	-6.230079651	-0.611755466
7.057523000	-6.226032257	-0.612618663
