idx, row, col, L_finger, L_coupler, f0_design, f0_meas, f0_design_nibble, L_finger_nibble, f0_meas_nibble
7.100000e+01,1.100000e+01,0.000000e+00,4.971282e+02,7.747959e+01,4.742211e+00,4.879075e+00,4.879075e+00,4.971282e+02,4.846304e+00
7.200000e+01,1.200000e+01,7.000000e+00,4.941650e+02,7.731820e+01,4.751256e+00,4.881449e+00,4.881449e+00,4.941650e+02,4.848647e+00
7.300000e+01,1.300000e+01,1.400000e+01,4.911969e+02,7.715064e+01,4.760302e+00,4.890790e+00,4.890790e+00,4.911969e+02,4.858144e+00
7.400000e+01,1.400000e+01,1.000000e+00,4.886468e+02,7.701989e+01,4.769347e+00,4.915845e+00,4.915845e+00,4.886468e+02,4.882730e+00
7.500000e+01,1.500000e+01,8.000000e+00,4.863934e+02,7.682635e+01,4.778392e+00,4.916251e+00,4.916251e+00,4.863934e+02,4.883449e+00
7.600000e+01,1.600000e+01,1.500000e+01,4.841729e+02,7.667779e+01,4.787437e+00,4.931777e+00,4.931777e+00,4.841729e+02,4.898694e+00
7.700000e+01,1.700000e+01,2.000000e+00,4.818453e+02,7.652520e+01,4.796482e+00,4.943742e+00,4.943742e+00,4.818453e+02,4.910690e+00
7.800000e+01,1.800000e+01,9.000000e+00,4.793293e+02,7.644522e+01,4.805528e+00,4.950022e+00,4.950022e+00,4.793293e+02,4.916876e+00
7.900000e+01,1.900000e+01,1.600000e+01,4.766069e+02,7.630211e+01,4.814573e+00,4.922780e+00,4.922780e+00,4.766069e+02,4.889822e+00
8.000000e+01,0.000000e+00,4.000000e+00,4.739303e+02,7.626987e+01,4.823618e+00,4.927810e+00,4.927810e+00,4.739303e+02,4.894414e+00
8.100000e+01,1.000000e+00,1.100000e+01,4.714803e+02,7.618358e+01,4.832663e+00,4.980762e+00,4.980762e+00,4.714803e+02,4.947367e+00
8.200000e+01,2.000000e+00,1.800000e+01,4.690202e+02,7.616460e+01,4.841709e+00,4.991853e+00,4.991853e+00,4.690202e+02,4.958488e+00
8.300000e+01,3.000000e+00,5.000000e+00,4.663936e+02,7.618748e+01,4.850754e+00,4.993571e+00,4.993571e+00,4.663936e+02,4.959988e+00
8.400000e+01,4.000000e+00,1.200000e+01,4.641145e+02,7.597170e+01,4.859799e+00,5.002537e+00,5.002537e+00,4.641145e+02,4.968516e+00
8.500000e+01,5.000000e+00,1.900000e+01,4.621242e+02,7.551058e+01,4.868844e+00,4.950834e+00,4.950834e+00,4.621242e+02,4.917532e+00
8.600000e+01,6.000000e+00,6.000000e+00,4.599554e+02,7.505074e+01,4.877889e+00,5.020500e+00,5.020500e+00,4.599554e+02,4.986605e+00
8.700000e+01,7.000000e+00,1.300000e+01,4.577646e+02,7.465657e+01,4.886935e+00,5.033902e+00,5.033902e+00,4.577646e+02,5.000194e+00
8.800000e+01,8.000000e+00,0.000000e+00,4.556181e+02,7.431334e+01,4.895980e+00,5.045899e+00,5.045899e+00,4.556181e+02,5.011941e+00
8.900000e+01,9.000000e+00,7.000000e+00,4.534479e+02,7.400922e+01,4.905025e+00,5.045180e+00,5.045180e+00,4.534479e+02,5.011347e+00
9.000000e+01,1.000000e+01,1.400000e+01,4.511925e+02,7.365951e+01,4.914070e+00,5.055177e+00,5.055177e+00,4.511925e+02,5.021250e+00
9.100000e+01,1.100000e+01,1.000000e+00,4.490152e+02,7.337117e+01,4.923116e+00,5.078108e+00,5.078108e+00,4.490152e+02,5.044025e+00
9.200000e+01,1.200000e+01,8.000000e+00,4.470199e+02,7.303046e+01,4.932161e+00,5.074640e+00,5.074640e+00,4.470199e+02,5.040495e+00
9.300000e+01,1.300000e+01,1.500000e+01,4.450756e+02,7.275939e+01,4.941206e+00,5.089104e+00,5.089104e+00,4.450756e+02,5.055084e+00
9.400000e+01,1.400000e+01,2.000000e+00,4.430852e+02,7.243612e+01,4.950251e+00,5.102194e+00,5.102194e+00,4.430852e+02,5.067830e+00
9.500000e+01,1.500000e+01,9.000000e+00,4.409839e+02,7.217999e+01,4.959296e+00,5.113066e+00,5.118765e+00,4.409839e+02,5.082794e+00
9.600000e+01,1.600000e+01,1.600000e+01,4.387273e+02,7.192937e+01,4.968342e+00,5.122250e+00,5.141592e+00,4.387273e+02,5.107349e+00
9.700000e+01,1.700000e+01,3.000000e+00,4.363613e+02,7.164087e+01,4.977387e+00,5.135153e+00,5.148916e+00,4.363613e+02,5.111973e+00
9.800000e+01,1.800000e+01,1.000000e+01,4.340921e+02,7.138181e+01,4.986432e+00,5.142994e+00,5.156414e+00,4.340921e+02,5.122126e+00
9.900000e+01,1.900000e+01,1.700000e+01,4.320820e+02,7.111441e+01,4.995477e+00,5.115284e+00,5.126593e+00,4.320820e+02,5.091323e+00
1.000000e+02,0.000000e+00,5.000000e+00,4.302478e+02,7.085605e+01,5.004523e+00,5.116502e+00,5.134457e+00,4.302478e+02,5.099508e+00
1.010000e+02,1.000000e+00,1.200000e+01,4.284809e+02,7.058300e+01,5.013568e+00,5.166050e+00,5.166424e+00,4.284809e+02,5.131373e+00
1.020000e+02,2.000000e+00,1.900000e+01,4.267163e+02,7.034056e+01,5.022613e+00,5.110785e+00,5.110785e+00,4.267163e+02,5.076359e+00
1.030000e+02,3.000000e+00,6.000000e+00,4.249128e+02,7.005859e+01,5.031658e+00,5.178921e+00,5.179299e+00,4.249128e+02,5.144057e+00
1.040000e+02,4.000000e+00,1.300000e+01,4.230333e+02,6.983080e+01,5.040704e+00,5.188324e+00,5.188704e+00,4.230333e+02,5.154366e+00
1.050000e+02,5.000000e+00,0.000000e+00,4.210441e+02,6.957593e+01,5.049749e+00,5.202976e+00,5.203358e+00,4.210441e+02,5.167768e+00
1.060000e+02,6.000000e+00,7.000000e+00,4.189129e+02,6.933541e+01,5.058794e+00,5.204600e+00,5.210976e+00,4.189129e+02,5.176297e+00
1.070000e+02,7.000000e+00,1.400000e+01,4.166382e+02,6.911634e+01,5.067839e+00,5.220658e+00,5.221044e+00,4.166382e+02,5.185638e+00
1.080000e+02,8.000000e+00,1.000000e+00,4.142535e+02,6.886734e+01,5.076884e+00,5.237309e+00,5.242319e+00,4.142535e+02,5.207444e+00
