1	6.1	60000	14627.3370480000
2	6.2	100000	14391.4122570000
3	6.3	100000	14162.9771430000
4	6.4	500000	13941.6806250000
5	6.5	500000	13727.1932310000
6	6.6	1000000	13519.2054540000
7	6.7	1000000	13317.4262670000
8	6.8	3000000	13121.5817640000
9	7.1	60000	25134.2974620000
10	7.2	100000	24785.2099980000
11	7.3	100000	24445.6865730000
12	7.4	500000	24115.3394580000
13	7.5	500000	23793.8015970000
14	7.6	1000000	23480.7252600000
15	7.7	1000000	23175.7807770000
16	7.8	3000000	22878.6553830000
17	4.2	14000	42156
18	4.4	50000	40242
19	4.6	100000	38490
20	4.8	200000	36888
21	5	500000	35412
22	5.2	1000000	34050
23	5.4	2000000	32790
24	5.6	4000000	31617
32	5.9	10000	15006
33	6	30000	14757
34	6.1	102000	14514
35	6.2	203000	14280
36	6.299	412000	14055
37	6.4	1055000	13833
38	6.501	2034000	13620
41	4	10000	22133.1
42	4.1	10000	21593.25
43	4.2	10000	21079.14
44	4.3	100000	20588.91
45	4.4	100000	20121
46	4.5	100000	19673.85
47	4.6	1000000	19246.17
48	4.7	1000000	18836.67
49	4.8	1000000	18444.24
51	6.0	10000	29510.79
52	6.1	10000	29027.01
53	6.2	10000	28558.83
54	6.3	100000	28105.53
55	6.4	100000	27666.36
56	6.5	100000	27240.72
57	6.6	1000000	26827.98
58	6.7	1000000	26427.57
59	6.8	1000000	26038.92
201	7	100000	12746.6794260000
202	7.1	600000	12567.1487310000
203	7.2	600000	12392.6049990000
204	7.4	100000	12057.6697290000
205	7.5	600000	11896.9008000000
206	7.6	600000	11740.3626300000
207	7.8	100000	11439.3276900000
208	7.9	600000	11294.5260750000
209	8	600000	11153.3445000000
217	8.4	14000	42156
218	8.8	50000	40242
219	9.2	100000	38490
220	9.6	200000	36888
221	10	500000	35412
222	10.4	1000000	34050
223	10.8	2000000	32790
224	11.2	4000000	31617

