idx, row, col, L_finger, L_coupler, f0_design, f0_meas, f0_design_nibble, L_finger_nibble, f0_meas_nibble
6.540000e+02,1.400000e+01,1.400000e+01,1.892710e+02,3.347278e+01,6.600196e+00,nan,nan,nan,nan
6.550000e+02,1.500000e+01,2.500000e+01,1.889270e+02,3.343843e+01,6.603718e+00,nan,nan,nan,nan
6.560000e+02,1.600000e+01,4.000000e+00,1.885660e+02,3.340472e+01,6.607241e+00,6.737415e+00,nan,nan,nan
6.570000e+02,1.700000e+01,1.500000e+01,1.882050e+02,3.337100e+01,6.610763e+00,nan,nan,nan,nan
6.580000e+02,1.800000e+01,2.600000e+01,1.878440e+02,3.333728e+01,6.614286e+00,nan,nan,nan,nan
6.590000e+02,1.900000e+01,5.000000e+00,1.874820e+02,3.330357e+01,6.617808e+00,nan,nan,nan,nan
6.600000e+02,2.000000e+01,1.600000e+01,1.871210e+02,3.326985e+01,6.621331e+00,nan,nan,nan,nan
6.610000e+02,2.100000e+01,2.700000e+01,1.867460e+02,3.323687e+01,6.624853e+00,nan,nan,nan,nan
6.620000e+02,2.200000e+01,6.000000e+00,1.863640e+02,3.320425e+01,6.628376e+00,nan,nan,nan,nan
6.630000e+02,2.300000e+01,1.700000e+01,1.859810e+02,3.317163e+01,6.631898e+00,nan,nan,nan,nan
6.640000e+02,2.400000e+01,2.800000e+01,1.855990e+02,3.313901e+01,6.635421e+00,nan,nan,nan,nan
6.650000e+02,2.500000e+01,7.000000e+00,1.852170e+02,3.310639e+01,6.638943e+00,nan,nan,nan,nan
6.660000e+02,2.600000e+01,1.800000e+01,1.848270e+02,3.307426e+01,6.642466e+00,nan,nan,nan,nan
6.670000e+02,2.700000e+01,2.900000e+01,1.844270e+02,3.304278e+01,6.645988e+00,nan,nan,nan,nan
6.680000e+02,2.800000e+01,8.000000e+00,1.840270e+02,3.301129e+01,6.649511e+00,nan,nan,nan,nan
6.690000e+02,2.900000e+01,1.900000e+01,1.836270e+02,3.297980e+01,6.653033e+00,nan,nan,nan,nan
6.700000e+02,3.000000e+01,3.000000e+01,1.832270e+02,3.294832e+01,6.656556e+00,nan,nan,nan,nan
6.710000e+02,3.100000e+01,9.000000e+00,1.828230e+02,3.291732e+01,6.660078e+00,6.807331e+00,nan,nan,nan
6.720000e+02,0.000000e+00,2.100000e+01,1.824140e+02,3.288698e+01,6.663601e+00,nan,nan,nan,nan
6.730000e+02,1.000000e+00,0.000000e+00,1.820060e+02,3.285663e+01,6.667123e+00,6.804925e+00,nan,nan,nan
6.740000e+02,2.000000e+00,1.100000e+01,1.815970e+02,3.282628e+01,6.670646e+00,nan,nan,nan,nan
6.750000e+02,3.000000e+00,2.200000e+01,1.811880e+02,3.279594e+01,6.674168e+00,nan,nan,nan,nan
6.760000e+02,4.000000e+00,1.000000e+00,1.807870e+02,3.276571e+01,6.677691e+00,6.819952e+00,nan,nan,nan
6.770000e+02,5.000000e+00,1.200000e+01,1.803930e+02,3.273559e+01,6.681213e+00,nan,nan,nan,nan
6.780000e+02,6.000000e+00,2.300000e+01,1.799980e+02,3.270546e+01,6.684736e+00,nan,nan,nan,nan
6.790000e+02,7.000000e+00,2.000000e+00,1.796040e+02,3.267533e+01,6.688258e+00,nan,nan,nan,nan
6.800000e+02,8.000000e+00,1.300000e+01,1.792100e+02,3.264521e+01,6.691781e+00,nan,nan,nan,nan
6.810000e+02,9.000000e+00,2.400000e+01,1.788380e+02,3.261450e+01,6.695303e+00,nan,nan,nan,nan
6.820000e+02,1.000000e+01,3.000000e+00,1.784940e+02,3.258312e+01,6.698826e+00,nan,nan,nan,nan
6.830000e+02,1.100000e+01,1.400000e+01,1.781490e+02,3.255174e+01,6.702348e+00,nan,nan,nan,nan
6.840000e+02,1.200000e+01,2.500000e+01,1.778040e+02,3.252036e+01,6.705871e+00,nan,nan,nan,nan
6.850000e+02,1.300000e+01,4.000000e+00,1.774600e+02,3.248898e+01,6.709393e+00,nan,nan,nan,nan
6.860000e+02,1.400000e+01,1.500000e+01,1.771150e+02,3.245760e+01,6.712916e+00,nan,nan,nan,nan
6.870000e+02,1.500000e+01,2.600000e+01,1.767980e+02,3.242548e+01,6.716438e+00,nan,nan,nan,nan
6.880000e+02,1.600000e+01,5.000000e+00,1.764950e+02,3.239300e+01,6.719961e+00,nan,nan,nan,nan
6.890000e+02,1.700000e+01,1.600000e+01,1.761910e+02,3.236052e+01,6.723483e+00,nan,nan,nan,nan
