# row col f0[GHz]
16 11 5.152321
24 27 5.248048
1 21 5.282108
9 5 5.238986
17 21 5.179162
25 5 5.246595
2 31 5.461048
10 15 5.196005
18 31 5.425535
26 15 5.220737
3 9 5.264718
11 25 5.252438
19 9 5.209816
27 25 5.294247
4 19 5.288170
12 3 5.302231
20 19 5.227815
28 3 5.323792
5 29 5.358696
13 13 5.225690
21 29 5.353774
29 13 5.313605
6 7 5.317433
14 23 5.274561
22 7 5.285264
30 23 5.362617
7 17 5.277327
15 1 5.366148
23 17 5.265234
31 1 5.448408
0 12 5.470500
8 28 5.368601
16 12 5.262500
24 28 5.383006
1 22 5.402802
9 6 5.332057
17 22 5.298966
25 6 5.344119
2 0 5.459688
10 16 5.307356
18 0 5.436877
26 16 5.334494
3 10 5.381053
11 26 5.377179
19 10 5.318324
27 26 5.415957
4 20 5.412129
12 4 5.399412
20 20 5.356930
28 4 5.429972
5 30 5.496014
13 14 5.328370
21 30 5.488608
29 14 5.427441
6 8 5.424175
14 24 5.403099
22 8 5.391740
30 24 5.480859
7 18 5.395896
15 2 5.471453
23 18 5.383960
31 2 5.566758
0 13 5.604943
8 29 5.502419
16 13 5.366523
24 29 5.534292
1 23 5.528652
9 7 5.461048
17 23 5.440408
25 7 5.487686
2 1 5.585382
10 17 5.444486
18 1 5.548494
26 17 5.478890
3 11 5.511763
11 27 5.519559
19 11 5.435471
27 27 5.563337
4 21 5.543073
12 5 nan
20 21 5.495092
28 5 5.557525
5 31 5.734949
13 15 5.462188
21 31 5.719388
29 15 5.551150
6 9 5.539948
14 25 5.534714
22 9 5.503232
30 25 5.609099
7 19 nan
15 3 5.598694
23 19 5.516668
31 3 5.691015
0 14 5.712216
8 30 5.645878
16 14 5.507888
24 30 5.663001
1 24 5.650158
9 8 5.580320
17 24 5.575680
25 8 5.587398
2 2 5.693561
10 18 5.570633
18 2 5.639378
26 18 5.603334
3 12 5.626566
11 28 5.651049
19 12 5.552822
27 28 6.174760
4 22 5.663392
12 6 5.617708
20 22 5.610505
28 6 5.675110
5 0 5.742167
13 16 5.587741
21 0 5.710951
29 16 5.665501
6 10 5.652065
14 26 5.668017
22 10 5.610286
30 26 5.733668
7 20 5.625504
15 4 5.680750
23 20 5.631550
31 4 5.785148
0 15 5.827317
8 31 5.899874
16 15 5.620083
24 31 5.875845
1 25 5.777008
9 9 5.726997
17 25 5.705217
25 9 5.701264
2 3 5.817990
10 19 5.696264
18 3 5.757510
26 19 5.727996
3 13 5.760666
11 29 5.771556
19 13 5.676781
27 29 5.810318
4 23 5.792945
12 7 5.747917
20 23 5.744230
28 7 5.780164
5 1 5.838519
13 17 5.719997
21 1 5.805069
29 17 5.801272
6 11 5.767134
14 27 5.818474
22 11 5.751385
30 27 5.864174
7 21 5.788070
15 5 5.795866
23 21 5.762353
31 5 5.924669
0 16 6.292111
8 0 6.225819
16 16 6.152887
24 0 6.222772
1 26 6.217007
9 10 6.156074
17 26 6.174057
25 10 6.164980
2 4 6.247536
10 20 6.158339
18 4 6.181166
26 20 6.166120
3 14 6.191181
11 30 6.235927
19 14 6.147668
27 30 6.265441
4 24 6.248723
12 8 6.175854
20 24 6.185712
28 8 6.210929
5 2 6.273987
13 18 6.157777
21 2 6.229272
29 18 6.216835
6 12 6.190962
14 28 6.253020
22 12 6.170979
30 28 6.282049
7 22 6.206070
15 6 6.200243
23 22 6.193024
31 6 6.357200
0 17 6.390369
8 1 6.314000
16 17 6.181947
24 1 6.307406
1 27 6.328202
9 11 6.202914
17 27 6.275143
25 11 6.225959
2 5 6.334889
10 21 6.236599
18 5 6.247161
26 21 6.263769
3 15 6.300548
11 31 6.490815
19 15 6.193571
27 31 6.499173
4 25 6.350200
12 9 6.249723
20 25 6.273143
28 9 6.306625
5 3 6.360231
13 19 6.235537
21 3 6.317624
29 19 6.327483
6 13 6.291829
14 29 6.364293
22 13 6.255520
30 29 6.404962
7 23 6.301532
15 7 6.282721
23 23 6.322327
31 7 6.448521
0 18 6.468816
8 2 6.377620
16 18 6.269316
24 2 6.380901
1 28 6.429366
9 12 6.297360
17 28 6.375933
25 12 6.317781
2 6 6.418758
10 22 6.341576
18 6 6.336295
26 22 6.359434
3 16 6.395634
11 0 6.452271
19 16 6.288548
27 0 6.465442
4 26 6.430304
12 10 6.343919
20 26 6.396915
28 10 6.399415
5 4 6.441396
13 20 6.341779
21 4 6.389369
29 20 6.419929
6 14 6.383354
14 30 6.481581
22 14 6.348247
30 30 6.510376
7 24 6.437725
15 8 6.366105
23 24 6.414227
31 8 6.575855
0 19 6.619883
8 3 6.494549
16 19 6.369089
24 3 6.474003
1 29 6.568059
9 13 6.407024
17 29 6.522297
25 13 6.422570
2 7 6.539889
10 23 6.458317
18 7 6.443506
26 23 6.483393
3 17 6.524875
11 1 6.554763
19 17 6.408508
27 1 6.568856
4 27 6.583292
12 11 6.431163
20 27 6.533718
28 11 6.501533
5 5 6.547514
13 21 6.452005
21 5 6.511579
29 21 6.543561
6 15 6.505720
14 31 6.751186
22 15 6.452114
30 31 6.757342
7 25 6.556825
15 9 6.462098
23 25 6.529046
31 9 6.668895
0 20 6.713251
8 4 6.583823
16 20 6.471379
24 4 nan
1 30 6.665161
9 14 6.487831
17 30 6.611040
25 14 6.515313
2 8 6.622742
10 24 6.560247
18 8 6.525015
26 24 6.605150
3 18 6.619055
11 2 6.660161
19 18 6.497939
27 2 6.645272
4 28 6.674832
12 12 6.528171
20 28 6.639413
28 12 6.599713
5 6 6.642585
13 22 6.554919
21 6 6.589542
29 22 6.648365
6 16 6.596510
14 0 6.725344
22 16 6.546935
30 0 6.730891
7 26 6.651022
15 10 6.575058
23 26 6.654459
31 10 6.782699
0 21 6.848913
8 5 6.678754
16 21 6.591245
24 5 6.668176
1 31 6.946484
9 15 6.605072
17 31 6.877333
25 15 6.626273
2 9 6.728110
10 25 6.691347
18 9 6.621664
26 25 6.698487
3 19 6.724188
11 3 6.735125
19 19 6.630304
27 3 6.752811
4 29 6.796370
12 13 6.633335
20 29 6.782262
28 13 6.693909
5 7 6.750592
13 23 6.685644
21 7 6.687956
29 23 6.777965
6 17 6.706096
14 1 6.807635
22 17 6.663989
30 1 6.829196
7 27 6.791449
