D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID167_90dBm_.dat
Power at KID:90dBm
resonance Frequency in GHz :6.449001
Q=27326.275425, Qc=74348.144531, Qi=43206.659230  S21min=-3.979405


Temperature in K:0.099972
GHz	dB	Rad
6.448516000	-6.789938927	-0.329533794
6.448517000	-6.791882992	-0.329536091
6.448518000	-6.793343067	-0.329922150
6.448519000	-6.797678947	-0.330061633
6.448520000	-6.799707890	-0.330369594
6.448521000	-6.797853470	-0.330007304
6.448522000	-6.796828747	-0.331156358
6.448523000	-6.791299343	-0.330962281
6.448524000	-6.797172546	-0.331364618
6.448525000	-6.805940151	-0.331882270
6.448526000	-6.797554970	-0.332295293
6.448527000	-6.797137260	-0.333101498
6.448528000	-6.799055576	-0.333335823
6.448529000	-6.801602840	-0.333287087
6.448530000	-6.807431698	-0.333311721
6.448531000	-6.804261208	-0.334016727
6.448532000	-6.802166462	-0.334539971
6.448533000	-6.803971291	-0.335288253
6.448534000	-6.803900242	-0.334483812
6.448535000	-6.809637070	-0.335532698
6.448536000	-6.807359219	-0.335260023
6.448537000	-6.809507370	-0.336363870
6.448538000	-6.807120800	-0.336430116
6.448539000	-6.806837559	-0.336369097
6.448540000	-6.811965466	-0.337326303
6.448541000	-6.806684971	-0.337404134
6.448542000	-6.805940628	-0.337839561
6.448543000	-6.810917854	-0.337590689
6.448544000	-6.814125061	-0.338594501
6.448545000	-6.810652256	-0.338736281
6.448546000	-6.814903736	-0.339116747
6.448547000	-6.817043781	-0.339855341
6.448548000	-6.818919659	-0.339746351
6.448549000	-6.809452057	-0.339551741
6.448550000	-6.815008640	-0.340197624
6.448551000	-6.817435265	-0.340653058
6.448552000	-6.813032150	-0.340755490
6.448553000	-6.818231583	-0.341148472
6.448554000	-6.822474003	-0.341957807
6.448555000	-6.823542118	-0.341598313
6.448556000	-6.819988251	-0.341947321
6.448557000	-6.817313671	-0.342628291
6.448558000	-6.830533504	-0.342568803
6.448559000	-6.830699444	-0.343563427
6.448560000	-6.824555397	-0.343474743
6.448561000	-6.824920654	-0.343473944
6.448562000	-6.825523376	-0.344397962
6.448563000	-6.828366280	-0.344652427
6.448564000	-6.832355499	-0.345274907
6.448565000	-6.833577633	-0.345565458
6.448566000	-6.832827568	-0.346181114
6.448567000	-6.832625389	-0.345573481
6.448568000	-6.834406376	-0.347043879
6.448569000	-6.833320141	-0.345967795
6.448570000	-6.837560177	-0.347245447
6.448571000	-6.833514690	-0.347173175
6.448572000	-6.836543560	-0.347192683
6.448573000	-6.837047100	-0.348700065
6.448574000	-6.833987236	-0.348299026
6.448575000	-6.837660789	-0.348725498
6.448576000	-6.835669041	-0.349266786
6.448577000	-6.840977192	-0.349488993
6.448578000	-6.839521408	-0.349866796
6.448579000	-6.837482929	-0.350164338
6.448580000	-6.843446255	-0.350489377
6.448581000	-6.841079712	-0.350602528
6.448582000	-6.845187187	-0.350844409
6.448583000	-6.843781471	-0.350816912
6.448584000	-6.846398354	-0.351387927
6.448585000	-6.845027924	-0.352091801
6.448586000	-6.844861984	-0.352190870
6.448587000	-6.844257832	-0.352826567
6.448588000	-6.850450516	-0.353604376
6.448589000	-6.851630211	-0.352271531
6.448590000	-6.849343300	-0.353596487
6.448591000	-6.850170612	-0.354022825
6.448592000	-6.851216316	-0.354401028
6.448593000	-6.851030827	-0.354663282
6.448594000	-6.858195782	-0.354520171
6.448595000	-6.856679440	-0.355011025
