D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID362_106dBm_.dat
Power at KID:106dBm
resonance Frequency in GHz :7.764630
Q=18846.189320, Qc=19589.458075, Qi=496706.786993  S21min=-28.417531


Temperature in K:0.100009
GHz	dB	Rad
7.764094000	-0.106060028	-0.413235616
7.764095000	-0.146699533	-0.412492960
7.764096000	-0.118549950	-0.409189175
7.764097000	-0.156788513	-0.413132019
7.764098000	-0.169821560	-0.415649338
7.764099000	-0.196634650	-0.417081287
7.764100000	-0.166579768	-0.418414598
7.764101000	-0.152662084	-0.417621775
7.764102000	-0.176803797	-0.418660575
7.764103000	-0.160634637	-0.420092257
7.764104000	-0.163153768	-0.416661173
7.764105000	-0.182309628	-0.418246620
7.764106000	-0.212676793	-0.416667631
7.764107000	-0.192605942	-0.422472990
7.764108000	-0.152041212	-0.419411053
7.764109000	-0.222039387	-0.424178911
7.764110000	-0.215784684	-0.420492696
7.764111000	-0.210562527	-0.421865689
7.764112000	-0.215465367	-0.426219125
7.764113000	-0.201149866	-0.423217476
7.764114000	-0.182839707	-0.428151748
7.764115000	-0.215053707	-0.427377068
7.764116000	-0.257790625	-0.425747413
7.764117000	-0.253423631	-0.433160155
7.764118000	-0.257555902	-0.428540203
7.764119000	-0.230362698	-0.427979907
7.764120000	-0.258259743	-0.430505084
7.764121000	-0.271638304	-0.435401904
7.764122000	-0.258488595	-0.431972352
7.764123000	-0.221765772	-0.435157060
7.764124000	-0.295203537	-0.432807586
7.764125000	-0.273208767	-0.435323474
7.764126000	-0.272212774	-0.439402272
7.764127000	-0.290502042	-0.439845688
7.764128000	-0.277648211	-0.440121791
7.764129000	-0.296732247	-0.437705539
7.764130000	-0.268588901	-0.441198108
7.764131000	-0.302979589	-0.441367452
7.764132000	-0.327469885	-0.443311759
7.764133000	-0.305207431	-0.444083909
7.764134000	-0.313532799	-0.441963933
7.764135000	-0.331287444	-0.444179417
7.764136000	-0.332758307	-0.445157696
7.764137000	-0.346271873	-0.444274292
7.764138000	-0.343142778	-0.444556920
7.764139000	-0.332278550	-0.444601495
7.764140000	-0.352426648	-0.440034074
7.764141000	-0.353149444	-0.446928432
7.764142000	-0.351389110	-0.448408750
7.764143000	-0.345229685	-0.448442772
7.764144000	-0.370593667	-0.452428259
7.764145000	-0.367843390	-0.455389494
7.764146000	-0.393091053	-0.451621854
7.764147000	-0.356587678	-0.453615729
