D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID6_98dBm_.dat
Power at KID:98dBm
resonance Frequency in GHz :5.660748
Q=39310.749998, Qc=62885.822228, Qi=104860.286831  S21min=-8.521994


Temperature in K:0.099958
GHz	dB	Rad
5.660008000	-0.768317759	-0.228214297
5.660009000	-0.756492972	-0.229904389
5.660010000	-0.769793153	-0.229436638
5.660011000	-0.769852698	-0.229656631
5.660012000	-0.765012503	-0.229462320
5.660013000	-0.774164200	-0.228925693
5.660014000	-0.775017917	-0.229228462
5.660015000	-0.774340570	-0.230593631
5.660016000	-0.765931189	-0.229822613
5.660017000	-0.771535039	-0.230001028
5.660018000	-0.773613691	-0.229969420
5.660019000	-0.771484733	-0.229442780
5.660020000	-0.765303075	-0.230540934
5.660021000	-0.775290012	-0.230042107
5.660022000	-0.770592034	-0.231369227
5.660023000	-0.772308469	-0.230357975
5.660024000	-0.761694670	-0.229164463
5.660025000	-0.768834114	-0.230885031
5.660026000	-0.762029886	-0.230908833
5.660027000	-0.768358111	-0.230398854
5.660028000	-0.767046869	-0.230307924
5.660029000	-0.775708139	-0.230873163
5.660030000	-0.768726289	-0.230252014
5.660031000	-0.765838265	-0.231156174
5.660032000	-0.770462275	-0.229343627
5.660033000	-0.762398064	-0.231562722
5.660034000	-0.769649804	-0.231661908
5.660035000	-0.771132350	-0.231205110
5.660036000	-0.777741015	-0.232753971
5.660037000	-0.770280123	-0.232613023
5.660038000	-0.769608557	-0.232202214
5.660039000	-0.765151262	-0.232549024
5.660040000	-0.769879162	-0.232331361
5.660041000	-0.767290533	-0.231269608
5.660042000	-0.763854742	-0.232028975
5.660043000	-0.766895533	-0.232165163
5.660044000	-0.767266273	-0.232583029
5.660045000	-0.767194748	-0.233212700
5.660046000	-0.767296612	-0.232730086
5.660047000	-0.769076526	-0.233584361
5.660048000	-0.768551409	-0.233321507
5.660049000	-0.762983143	-0.232622411
5.660050000	-0.768275559	-0.232331594
5.660051000	-0.766079366	-0.232776525
5.660052000	-0.765114307	-0.232834848
5.660053000	-0.768926620	-0.232951278
5.660054000	-0.764634013	-0.232720748
5.660055000	-0.768082201	-0.233066510
5.660056000	-0.773363173	-0.233196239
5.660057000	-0.770732343	-0.233749627
5.660058000	-0.775983214	-0.232857951
5.660059000	-0.767499447	-0.233020986
5.660060000	-0.767373562	-0.233283241
5.660061000	-0.772770584	-0.234108455
5.660062000	-0.769863427	-0.233153378
5.660063000	-0.774823964	-0.233798363
5.660064000	-0.759132206	-0.233220607
5.660065000	-0.776148140	-0.234196772
5.660066000	-0.761878788	-0.234490452
5.660067000	-0.776309490	-0.233609278
5.660068000	-0.771815598	-0.233970436
5.660069000	-0.771780789	-0.234315465
5.660070000	-0.778161049	-0.235744368
5.660071000	-0.769387901	-0.234223154
5.660072000	-0.765537679	-0.234535459
5.660073000	-0.776208937	-0.234786845
5.660074000	-0.775844276	-0.234911048
5.660075000	-0.782528460	-0.235135153
5.660076000	-0.764945865	-0.235461091
5.660077000	-0.769074321	-0.234409758
5.660078000	-0.773648858	-0.234187784
5.660079000	-0.772773027	-0.234982787
5.660080000	-0.769023180	-0.236204962
5.660081000	-0.774593592	-0.235791007
5.660082000	-0.770767748	-0.235220624
5.660083000	-0.771779299	-0.235726675
5.660084000	-0.772108436	-0.235686611
5.660085000	-0.774168074	-0.236172005
5.660086000	-0.775435686	-0.236050432
5.660087000	-0.771270752	-0.235350104
5.660088000	-0.779415905	-0.236716422
5.660089000	-0.771541655	-0.235037715
5.660090000	-0.774802685	-0.236629952
5.660091000	-0.779008687	-0.237055093
5.660092000	-0.776608288	-0.236211769
5.660093000	-0.778929293	-0.237664624
5.660094000	-0.772764683	-0.236305579
5.660095000	-0.776125848	-0.237477437
5.660096000	-0.769456208	-0.237140397
5.660097000	-0.771730900	-0.236908419
5.660098000	-0.772581279	-0.237612492
5.660099000	-0.773278892	-0.237661744
5.660100000	-0.765459955	-0.237125533
5.660101000	-0.777133524	-0.237986766
5.660102000	-0.768004179	-0.237536759
5.660103000	-0.767539620	-0.237466584
5.660104000	-0.763415456	-0.238147388
5.660105000	-0.772050321	-0.237724545
5.660106000	-0.770830929	-0.237435209
5.660107000	-0.771157801	-0.238237137
5.660108000	-0.777207077	-0.238552571
5.660109000	-0.771290243	-0.237796883
5.660110000	-0.772148311	-0.238010901
5.660111000	-0.767203212	-0.238835283
5.660112000	-0.775384784	-0.238200069
5.660113000	-0.774598897	-0.239226684
5.660114000	-0.770543873	-0.238899598
5.660115000	-0.769251704	-0.238691805
5.660116000	-0.762535155	-0.237921735
5.660117000	-0.774784684	-0.238278815
5.660118000	-0.771859646	-0.239240566
5.660119000	-0.768077374	-0.239414853
5.660120000	-0.767977118	-0.239749146
5.660121000	-0.764488280	-0.239799114
5.660122000	-0.769482195	-0.240352119
5.660123000	-0.770639956	-0.239127098
5.660124000	-0.780080438	-0.239391517
5.660125000	-0.772716343	-0.239289285
5.660126000	-0.777827203	-0.240521746
5.660127000	-0.770893216	-0.238893839
5.660128000	-0.772335351	-0.240133624
5.660129000	-0.767204821	-0.240961767
5.660130000	-0.766948819	-0.240100201
5.660131000	-0.770410597	-0.240357312
5.660132000	-0.775030434	-0.240489455
5.660133000	-0.772111595	-0.240966827
5.660134000	-0.773604393	-0.240824065
5.660135000	-0.770402908	-0.241305231
5.660136000	-0.769784212	-0.241477155
5.660137000	-0.776838303	-0.241183675
5.660138000	-0.769852221	-0.240892874
5.660139000	-0.769433141	-0.241664059
5.660140000	-0.768381953	-0.241980942
5.660141000	-0.771705568	-0.242227417
5.660142000	-0.773518860	-0.240975033
5.660143000	-0.771767735	-0.241593652
5.660144000	-0.774353385	-0.241355399
5.660145000	-0.770880938	-0.242785366
5.660146000	-0.779280066	-0.241597014
5.660147000	-0.772950292	-0.242221043
5.660148000	-0.764703214	-0.242799614
5.660149000	-0.768581808	-0.243260042
5.660150000	-0.763498783	-0.242533381
5.660151000	-0.765684664	-0.242276503
5.660152000	-0.768193781	-0.243276736
5.660153000	-0.774859250	-0.242927929
5.660154000	-0.774634480	-0.243255065
5.660155000	-0.775666893	-0.242359144
5.660156000	-0.781770527	-0.242805889
5.660157000	-0.770203114	-0.243226552
5.660158000	-0.770243227	-0.243754740
5.660159000	-0.776392996	-0.243457665
5.660160000	-0.772846699	-0.243691757
5.660161000	-0.766680956	-0.243697266
5.660162000	-0.773838878	-0.243836899
5.660163000	-0.771996439	-0.243998320
5.660164000	-0.775598884	-0.244341884
5.660165000	-0.770990133	-0.243719603
5.660166000	-0.773643553	-0.245194196
5.660167000	-0.771343291	-0.244405450
5.660168000	-0.777841032	-0.245339671
5.660169000	-0.770787001	-0.244840611
5.660170000	-0.770089388	-0.245035438
5.660171000	-0.775394082	-0.244994309
5.660172000	-0.774772108	-0.245302836
5.660173000	-0.775265038	-0.245317350
5.660174000	-0.773465991	-0.245629539
5.660175000	-0.772584200	-0.244942843
5.660176000	-0.772703588	-0.246563360
5.660177000	-0.775149941	-0.246566073
5.660178000	-0.763291121	-0.246155813
5.660179000	-0.776483357	-0.245899667
5.660180000	-0.771064818	-0.245788363
5.660181000	-0.774577200	-0.246136489
5.660182000	-0.768024623	-0.246726146
5.660183000	-0.768953323	-0.246803677
5.660184000	-0.771230280	-0.246376722
5.660185000	-0.767410457	-0.246838381
5.660186000	-0.766466677	-0.246010338
5.660187000	-0.772987843	-0.246801313
5.660188000	-0.771308243	-0.248170045
5.660189000	-0.784463525	-0.247587562
5.660190000	-0.767710924	-0.247646634
5.660191000	-0.774132788	-0.247552125
5.660192000	-0.770645678	-0.247959456
5.660193000	-0.770933628	-0.246178350
5.660194000	-0.778906226	-0.248138803
5.660195000	-0.777879715	-0.248346862
5.660196000	-0.775636792	-0.246685416
5.660197000	-0.773278415	-0.248286958
5.660198000	-0.777750611	-0.247985671
5.660199000	-0.775140107	-0.248943943
5.660200000	-0.774889648	-0.248209410
5.660201000	-0.773865700	-0.247769722
5.660202000	-0.775600135	-0.249339722
5.660203000	-0.772083580	-0.248419134
5.660204000	-0.774090111	-0.248387109
5.660205000	-0.779588163	-0.249613661
5.660206000	-0.769183815	-0.249471981
5.660207000	-0.775135994	-0.250223309
5.660208000	-0.779729605	-0.250090967
5.660209000	-0.775257230	-0.249115151
5.660210000	-0.775401950	-0.249539359
5.660211000	-0.767733991	-0.249848003
5.660212000	-0.776490033	-0.250043096
5.660213000	-0.773900390	-0.250016398
5.660214000	-0.779714286	-0.250284312
5.660215000	-0.778505802	-0.249798102
5.660216000	-0.770452023	-0.249526460
5.660217000	-0.770756721	-0.251272212
5.660218000	-0.775131941	-0.251117582
5.660219000	-0.773140609	-0.250197443
5.660220000	-0.774667799	-0.251666759
5.660221000	-0.775110245	-0.250672701
5.660222000	-0.781524241	-0.251554557
5.660223000	-0.772959709	-0.250996358
5.660224000	-0.775499344	-0.251371947
5.660225000	-0.774191856	-0.251519736
5.660226000	-0.775774240	-0.251265737
5.660227000	-0.766742826	-0.252635817
5.660228000	-0.784306943	-0.251366554
5.660229000	-0.775090635	-0.252327855
5.660230000	-0.775636435	-0.252819541
5.660231000	-0.780461788	-0.252440790
5.660232000	-0.779746711	-0.252791795
5.660233000	-0.773945332	-0.253773719
5.660234000	-0.777704656	-0.253793426
5.660235000	-0.780670285	-0.253309097
5.660236000	-0.776268721	-0.253411063
5.660237000	-0.781602442	-0.253586865
5.660238000	-0.776232183	-0.253476926
5.660239000	-0.776648760	-0.253630407
5.660240000	-0.777884841	-0.254534135
5.660241000	-0.774356604	-0.254591259
5.660242000	-0.781454265	-0.253403340
5.660243000	-0.780864835	-0.253643124
5.660244000	-0.777960479	-0.253805277
5.660245000	-0.778365195	-0.254484184
5.660246000	-0.776940584	-0.254598350
5.660247000	-0.778645754	-0.254543872
5.660248000	-0.780217052	-0.255405754
5.660249000	-0.780158877	-0.255147910
5.660250000	-0.782578170	-0.255023391
5.660251000	-0.778971195	-0.255111009
5.660252000	-0.771727145	-0.255448731
5.660253000	-0.777576208	-0.254819692
5.660254000	-0.783105493	-0.255906262
5.660255000	-0.782742083	-0.255888885
5.660256000	-0.773338377	-0.255627662
5.660257000	-0.772995174	-0.255660052
5.660258000	-0.781705976	-0.255990218
5.660259000	-0.779030085	-0.257201141
5.660260000	-0.783405066	-0.257329671
5.660261000	-0.776072621	-0.256179519
5.660262000	-0.780462503	-0.256553027
5.660263000	-0.780841112	-0.257476179
5.660264000	-0.778483391	-0.257624866
5.660265000	-0.776121855	-0.257917431
5.660266000	-0.773696780	-0.258375744
5.660267000	-0.779672503	-0.258417872
5.660268000	-0.786223412	-0.258387296
5.660269000	-0.784361303	-0.257715414
5.660270000	-0.784398556	-0.257714515
5.660271000	-0.779620647	-0.257857393
5.660272000	-0.779589415	-0.257909625
5.660273000	-0.770138025	-0.259071628
5.660274000	-0.771884680	-0.257824670
5.660275000	-0.779578447	-0.259091020
5.660276000	-0.786281228	-0.259249894
5.660277000	-0.781935334	-0.259010759
5.660278000	-0.779032886	-0.258858858
5.660279000	-0.778951943	-0.258783258
5.660280000	-0.778488994	-0.259081216
5.660281000	-0.780205011	-0.259727182
5.660282000	-0.789805174	-0.260146863
5.660283000	-0.773040473	-0.261049092
5.660284000	-0.782690167	-0.260450280
5.660285000	-0.782828689	-0.260753448
5.660286000	-0.780831695	-0.259923307
5.660287000	-0.777866602	-0.260697788
5.660288000	-0.779614508	-0.261407853
5.660289000	-0.774004936	-0.261157483
5.660290000	-0.780113518	-0.260909526
5.660291000	-0.776340663	-0.262052505
5.660292000	-0.788491249	-0.262188376
5.660293000	-0.786900580	-0.261831978
5.660294000	-0.772643209	-0.261014288
5.660295000	-0.786913812	-0.261466260
5.660296000	-0.782090425	-0.261294569
5.660297000	-0.779173672	-0.261841899
5.660298000	-0.782672703	-0.263059712
5.660299000	-0.779823840	-0.262621372
5.660300000	-0.776748359	-0.263497203
5.660301000	-0.784500897	-0.263789385
5.660302000	-0.781472266	-0.262486317
5.660303000	-0.780626357	-0.262812138
5.660304000	-0.777903736	-0.263897326
5.660305000	-0.786710083	-0.263692712
5.660306000	-0.784985840	-0.262902619
5.660307000	-0.785447240	-0.263606343
5.660308000	-0.780167758	-0.263921211
5.660309000	-0.783662975	-0.264105086
5.660310000	-0.783371150	-0.264569758
5.660311000	-0.781139910	-0.264452662
5.660312000	-0.790972531	-0.265028337
5.660313000	-0.781890094	-0.264675568
5.660314000	-0.788274109	-0.264907447
5.660315000	-0.784869075	-0.265371569
5.660316000	-0.783533514	-0.265589482
5.660317000	-0.781434298	-0.264384385
5.660318000	-0.787976742	-0.266019017
5.660319000	-0.784230947	-0.265429443
5.660320000	-0.784105122	-0.266480659
5.660321000	-0.790675759	-0.267388614
5.660322000	-0.785884440	-0.266612169
5.660323000	-0.789740086	-0.266450266
5.660324000	-0.783475339	-0.266773340
5.660325000	-0.782423973	-0.266875772
5.660326000	-0.785335362	-0.266991703
