D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID265_98dBm_.dat
Power at KID:98dBm
resonance Frequency in GHz :7.221659
Q=29841.566114, Qc=35821.774587, Qi=178752.606972  S21min=-15.548615


Temperature in K:0.100015
GHz	dB	Rad
7.220898000	0.789231122	-0.114525797
7.220899000	0.786820531	-0.112840724
7.220900000	0.786044598	-0.113440517
7.220901000	0.788390279	-0.113727124
7.220902000	0.782392204	-0.114486757
7.220903000	0.789129257	-0.115741489
7.220904000	0.779369891	-0.114896692
7.220905000	0.780255616	-0.114881071
7.220906000	0.785051107	-0.114542983
7.220907000	0.795417666	-0.114574874
7.220908000	0.784359932	-0.115142910
7.220909000	0.783766508	-0.115424056
7.220910000	0.791412115	-0.114556132
7.220911000	0.784865618	-0.115543191
7.220912000	0.793676972	-0.117317214
7.220913000	0.777901709	-0.115332535
7.220914000	0.789283574	-0.116665406
7.220915000	0.780715585	-0.116077197
7.220916000	0.777172863	-0.116401129
7.220917000	0.785000563	-0.116423799
7.220918000	0.795763254	-0.114596155
7.220919000	0.767986178	-0.117509362
7.220920000	0.781724155	-0.115163499
7.220921000	0.789377391	-0.117684556
7.220922000	0.778441072	-0.117008130
7.220923000	0.782133698	-0.117084438
7.220924000	0.776052713	-0.117024675
7.220925000	0.774900913	-0.117330630
7.220926000	0.778938532	-0.118631451
7.220927000	0.769585133	-0.118689458
7.220928000	0.781047165	-0.117976189
7.220929000	0.776071727	-0.118126840
7.220930000	0.774123192	-0.117431639
7.220931000	0.777751923	-0.117258159
7.220932000	0.769640088	-0.117195375
7.220933000	0.777576149	-0.119019515
7.220934000	0.774217665	-0.118678797
7.220935000	0.774885237	-0.120907638
7.220936000	0.774246275	-0.118653913
7.220937000	0.771687746	-0.118347633
7.220938000	0.775475860	-0.117850987
7.220939000	0.771715701	-0.119300246
7.220940000	0.784380138	-0.119522503
7.220941000	0.765921474	-0.119930108
7.220942000	0.773693562	-0.120051074
7.220943000	0.764224112	-0.121141847
7.220944000	0.779388189	-0.118518816
7.220945000	0.780762374	-0.120510744
7.220946000	0.763434291	-0.121405533
7.220947000	0.767957211	-0.121030610
7.220948000	0.772755146	-0.121882597
7.220949000	0.777208626	-0.122003171
7.220950000	0.776814997	-0.122107351
7.220951000	0.784477413	-0.123151568
7.220952000	0.760938168	-0.121574569
7.220953000	0.759755313	-0.122080003
7.220954000	0.756504178	-0.120550708
7.220955000	0.758750379	-0.122904868
7.220956000	0.772069991	-0.122796136
7.220957000	0.768035293	-0.122487692
7.220958000	0.775482476	-0.123513808
7.220959000	0.770006418	-0.122634299
7.220960000	0.758008540	-0.123975900
7.220961000	0.757441759	-0.122815102
7.220962000	0.761452198	-0.123756638
7.220963000	0.772033870	-0.123900798
7.220964000	0.753170431	-0.123539274
7.220965000	0.763530612	-0.123782021
7.220966000	0.755393326	-0.123597589
7.220967000	0.753131330	-0.123085272
7.220968000	0.758537233	-0.123510287
7.220969000	0.760754406	-0.122957823
7.220970000	0.758770585	-0.124902588
7.220971000	0.751824379	-0.123787631
