D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID23_90dBm_.dat
Power at KID:90dBm
resonance Frequency in GHz :5.750528
Q=30751.486633, Qc=69140.883859, Qi=55384.692634  S21min=-5.110473


Temperature in K:0.100004
GHz	dB	Rad
5.749859000	-7.310730934	-0.352252722
5.749860000	-7.305719376	-0.352490676
5.749861000	-7.308409691	-0.352846008
5.749862000	-7.311339855	-0.352345200
5.749863000	-7.310734749	-0.352569738
5.749864000	-7.305268764	-0.353063255
5.749865000	-7.308784008	-0.354201524
5.749866000	-7.305741310	-0.354033977
5.749867000	-7.302814960	-0.354068931
5.749868000	-7.302014351	-0.353992266
5.749869000	-7.304388046	-0.354437946
5.749870000	-7.301044941	-0.355058695
5.749871000	-7.299313068	-0.355441292
5.749872000	-7.301451683	-0.355377575
5.749873000	-7.298940182	-0.355723920
5.749874000	-7.296268463	-0.356723870
5.749875000	-7.294910908	-0.356376194
5.749876000	-7.290783405	-0.356692611
5.749877000	-7.294384480	-0.357109662
5.749878000	-7.291737080	-0.357642095
5.749879000	-7.296165466	-0.358494539
5.749880000	-7.286502838	-0.358639548
5.749881000	-7.286842346	-0.359427911
5.749882000	-7.291069984	-0.360004185
5.749883000	-7.283783436	-0.360376728
5.749884000	-7.282522202	-0.360447369
5.749885000	-7.282155514	-0.360930300
5.749886000	-7.282382488	-0.361166855
5.749887000	-7.285555363	-0.360452162
5.749888000	-7.288368702	-0.360805830
5.749889000	-7.278227806	-0.361356206
5.749890000	-7.283038139	-0.362038341
5.749891000	-7.279774666	-0.362948377
5.749892000	-7.276732922	-0.363276678
5.749893000	-7.271987438	-0.362943017
5.749894000	-7.272288799	-0.363409569
5.749895000	-7.270689964	-0.363279907
5.749896000	-7.273507118	-0.363631444
5.749897000	-7.272237778	-0.364667680
5.749898000	-7.267083168	-0.364763754
5.749899000	-7.271448135	-0.365837573
5.749900000	-7.271476746	-0.366045833
5.749901000	-7.269774437	-0.365856382
5.749902000	-7.264996052	-0.365832979
5.749903000	-7.265866280	-0.366362949
5.749904000	-7.262290001	-0.366685124
5.749905000	-7.268704891	-0.367136031
5.749906000	-7.264917850	-0.367493660
5.749907000	-7.263933182	-0.367660907
5.749908000	-7.264036179	-0.367929320
5.749909000	-7.263841629	-0.368354094
5.749910000	-7.262105465	-0.368581761
5.749911000	-7.260789394	-0.368405060
5.749912000	-7.262492180	-0.369015623
5.749913000	-7.261230946	-0.369093621
5.749914000	-7.258765697	-0.369767800
5.749915000	-7.253314972	-0.370363416
5.749916000	-7.254300117	-0.370127993
5.749917000	-7.255131245	-0.370596309
5.749918000	-7.252282619	-0.371133136
5.749919000	-7.247765064	-0.371725823
5.749920000	-7.249259472	-0.371221986
5.749921000	-7.250288486	-0.371704717
5.749922000	-7.253015995	-0.372430728
5.749923000	-7.246515274	-0.372681065
5.749924000	-7.248387814	-0.373003175
5.749925000	-7.249088764	-0.373129808
5.749926000	-7.245648861	-0.373411271
5.749927000	-7.244245529	-0.373733913
5.749928000	-7.246304512	-0.374491316
5.749929000	-7.246263027	-0.374037713
5.749930000	-7.242510796	-0.374333057
5.749931000	-7.244397640	-0.374965358
5.749932000	-7.248256683	-0.375029774
5.749933000	-7.242585182	-0.375434541
5.749934000	-7.240676880	-0.375508044
5.749935000	-7.239756584	-0.376176963
5.749936000	-7.240559101	-0.375884582
5.749937000	-7.240636826	-0.376023699
5.749938000	-7.243142605	-0.377190163
5.749939000	-7.237152100	-0.377336537
5.749940000	-7.241180897	-0.377246422
5.749941000	-7.234783173	-0.377245590
5.749942000	-7.235707283	-0.378396975
5.749943000	-7.235108852	-0.378611193
5.749944000	-7.238571644	-0.378503634
5.749945000	-7.235715866	-0.379430447
5.749946000	-7.237127781	-0.379218893
5.749947000	-7.233771324	-0.379399854
5.749948000	-7.235295773	-0.379591302
5.749949000	-7.230499744	-0.380031723
5.749950000	-7.231475353	-0.380317313
5.749951000	-7.227450848	-0.380471877
5.749952000	-7.229260445	-0.380636926
5.749953000	-7.229928017	-0.380799512
5.749954000	-7.231240749	-0.380780204
5.749955000	-7.226326466	-0.381844370
5.749956000	-7.232591629	-0.381560843
5.749957000	-7.229973316	-0.382520147
5.749958000	-7.227157116	-0.382589156
5.749959000	-7.230754852	-0.382755038
5.749960000	-7.227388382	-0.383587109
5.749961000	-7.227674961	-0.383431314
5.749962000	-7.221632481	-0.383675227
5.749963000	-7.223431110	-0.383952262
5.749964000	-7.224319458	-0.384186021
5.749965000	-7.217813015	-0.384567785
5.749966000	-7.219027996	-0.384823449
5.749967000	-7.224096298	-0.386134789
5.749968000	-7.217599869	-0.385947269
5.749969000	-7.219121456	-0.386301836
5.749970000	-7.224384308	-0.385896636
5.749971000	-7.220420837	-0.386166680
5.749972000	-7.214395046	-0.386889163
5.749973000	-7.220529079	-0.386795320
5.749974000	-7.217511177	-0.386728907
5.749975000	-7.210759163	-0.387143495
5.749976000	-7.220710754	-0.386591321
5.749977000	-7.223702431	-0.387405816
5.749978000	-7.216876507	-0.388454502
5.749979000	-7.211514950	-0.388653108
5.749980000	-7.211565971	-0.389223390
5.749981000	-7.210583687	-0.389718638
5.749982000	-7.214225769	-0.389175387
5.749983000	-7.208433151	-0.389127350
5.749984000	-7.205733776	-0.389875998
5.749985000	-7.205310345	-0.390059490
5.749986000	-7.202320576	-0.390342783
5.749987000	-7.204543591	-0.391359478
5.749988000	-7.208070278	-0.391716875
5.749989000	-7.206644535	-0.391528023
5.749990000	-7.204909325	-0.391531186
5.749991000	-7.209932327	-0.391777861
5.749992000	-7.207826138	-0.391919408
5.749993000	-7.205442429	-0.392259161
5.749994000	-7.202919483	-0.392602109
5.749995000	-7.202130318	-0.392905943
5.749996000	-7.200439930	-0.393153550
5.749997000	-7.206837654	-0.393726529
5.749998000	-7.205160141	-0.393957858
5.749999000	-7.199903488	-0.394483067
5.750000000	-7.201196671	-0.394070377
5.750001000	-7.201882362	-0.394843126
5.750002000	-7.193288803	-0.395579091
5.750003000	-7.201830864	-0.395085740
5.750004000	-7.201455593	-0.394914299
5.750005000	-7.205596924	-0.395635916
5.750006000	-7.197960854	-0.396087255
5.750007000	-7.195787907	-0.396584134
5.750008000	-7.195711613	-0.396658437
5.750009000	-7.195729733	-0.396706840
5.750010000	-7.196323395	-0.396977849
5.750011000	-7.198845863	-0.397610916
5.750012000	-7.194593430	-0.397646270
5.750013000	-7.200033188	-0.397896440
5.750014000	-7.202672005	-0.397810986
5.750015000	-7.193784714	-0.398486963
5.750016000	-7.193458557	-0.398153868
5.750017000	-7.190864086	-0.399038670
5.750018000	-7.195175648	-0.398940233
5.750019000	-7.194847107	-0.398917297
5.750020000	-7.191997528	-0.398898222
5.750021000	-7.197016716	-0.399163073
5.750022000	-7.190260410	-0.399698102
5.750023000	-7.194922447	-0.400056164
5.750024000	-7.190814972	-0.400549615
5.750025000	-7.193220615	-0.401010741
5.750026000	-7.190817833	-0.401141302
5.750027000	-7.190231800	-0.401066701
5.750028000	-7.191147804	-0.401327491
5.750029000	-7.188056469	-0.401266804
5.750030000	-7.193831444	-0.402135361
5.750031000	-7.190919876	-0.401895743
5.750032000	-7.183693409	-0.402168850
5.750033000	-7.190980911	-0.402976520
5.750034000	-7.183625698	-0.402679411
5.750035000	-7.186061859	-0.403182915
5.750036000	-7.181606770	-0.403860889
5.750037000	-7.189797401	-0.403694741
5.750038000	-7.180710793	-0.403931530
5.750039000	-7.180119991	-0.403810922
5.750040000	-7.187576294	-0.403974307
5.750041000	-7.183231354	-0.404999257
5.750042000	-7.182622433	-0.405539113
5.750043000	-7.181843758	-0.405930798
5.750044000	-7.181425571	-0.406341258
5.750045000	-7.178483486	-0.406425780
5.750046000	-7.175534248	-0.406874056
5.750047000	-7.175282001	-0.406495288
5.750048000	-7.181906700	-0.407095298
5.750049000	-7.178489685	-0.407607291
5.750050000	-7.178881168	-0.408332903
5.750051000	-7.178600788	-0.408538898
5.750052000	-7.173388004	-0.408844696
5.750053000	-7.173856258	-0.409129854
5.750054000	-7.175945282	-0.409100725
5.750055000	-7.176298618	-0.409245235
5.750056000	-7.177633762	-0.409466011
5.750057000	-7.173847198	-0.409748339
5.750058000	-7.176247597	-0.410496488
5.750059000	-7.172629356	-0.410307004
5.750060000	-7.175159931	-0.410515729
5.750061000	-7.174373627	-0.410189825
5.750062000	-7.177926540	-0.410732710
5.750063000	-7.174051285	-0.411325230
5.750064000	-7.171634197	-0.411276594
5.750065000	-7.171395779	-0.411818548
5.750066000	-7.164472580	-0.412353843
5.750067000	-7.169970989	-0.412114525
5.750068000	-7.170017719	-0.412543227
5.750069000	-7.169483185	-0.412540764
5.750070000	-7.170220375	-0.412967935
5.750071000	-7.175323009	-0.412785009
5.750072000	-7.168130398	-0.413436318
5.750073000	-7.171023846	-0.413927971
