D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID257_104dBm_.dat
Power at KID:104dBm
resonance Frequency in GHz :7.188554
Q=36305.828285, Qc=43941.920742, Qi=208922.015806  S21min=-15.200157


Temperature in K:0.100001
GHz	dB	Rad
7.187695000	1.359892845	-0.057600346
7.187696000	1.380889416	-0.057391725
7.187697000	1.362579823	-0.058975781
7.187698000	1.375752687	-0.062336366
7.187699000	1.378755689	-0.060274434
7.187700000	1.354874730	-0.059282386
7.187701000	1.383787513	-0.059369763
7.187702000	1.376835227	-0.058911982
7.187703000	1.365315795	-0.058603342
7.187704000	1.365612388	-0.060299984
7.187705000	1.378468156	-0.059942858
7.187706000	1.341541290	-0.058599498
7.187707000	1.378293872	-0.060090539
7.187708000	1.371384978	-0.063929985
7.187709000	1.384913325	-0.060875031
7.187710000	1.357202888	-0.061687429
7.187711000	1.361424804	-0.062198015
7.187712000	1.369788885	-0.062797638
7.187713000	1.368035674	-0.060509642
7.187714000	1.345371723	-0.058863458
7.187715000	1.367525578	-0.060958347
7.187716000	1.366219759	-0.061287830
7.187717000	1.358126521	-0.060510320
7.187718000	1.355419159	-0.060469478
7.187719000	1.353690624	-0.062865370
7.187720000	1.377088666	-0.061170800
7.187721000	1.337153316	-0.060930150
7.187722000	1.366740465	-0.059727359
7.187723000	1.375641704	-0.062077170
7.187724000	1.340797186	-0.061602657
7.187725000	1.367776275	-0.058945525
7.187726000	1.350471497	-0.064281210
7.187727000	1.352593899	-0.063214668
7.187728000	1.355660796	-0.060439492
7.187729000	1.379681706	-0.062476819
7.187730000	1.360179186	-0.064836009
7.187731000	1.351435542	-0.064879752
7.187732000	1.396775007	-0.066578203
7.187733000	1.375216365	-0.065467961
7.187734000	1.374036670	-0.064532946
7.187735000	1.379226089	-0.066108651
7.187736000	1.368461967	-0.067263202
7.187737000	1.366867423	-0.064037814
7.187738000	1.358050823	-0.065391266
7.187739000	1.367188334	-0.065312653
7.187740000	1.366593957	-0.062333574
7.187741000	1.383395553	-0.064147599
7.187742000	1.378239036	-0.067038560
7.187743000	1.392785668	-0.066605634
7.187744000	1.350633502	-0.068142207
7.187745000	1.359107018	-0.067378442
7.187746000	1.348388076	-0.066040965
7.187747000	1.378833294	-0.065443880
7.187748000	1.359464765	-0.066869474
7.187749000	1.361527801	-0.067434722
7.187750000	1.341048479	-0.067564800
7.187751000	1.348324180	-0.067547353
7.187752000	1.376541734	-0.067262145
7.187753000	1.354671597	-0.069489742
7.187754000	1.365613341	-0.064664202
7.187755000	1.367015243	-0.066532097
7.187756000	1.349271536	-0.070582416
7.187757000	1.366046071	-0.069199811
7.187758000	1.352788806	-0.069291349
7.187759000	1.364114165	-0.070595607
7.187760000	1.334470272	-0.068805634
7.187761000	1.363205910	-0.068188983
7.187762000	1.391540289	-0.067435766
7.187763000	1.380539894	-0.071360625
7.187764000	1.365369797	-0.068847346
7.187765000	1.368462324	-0.070448875
7.187766000	1.381497025	-0.070993042
7.187767000	1.400017738	-0.068986379
7.187768000	1.349243522	-0.071035919
7.187769000	1.374060750	-0.073921121
7.187770000	1.371173739	-0.071605552
7.187771000	1.358898640	-0.070297158
7.187772000	1.359701395	-0.070284516
7.187773000	1.352317810	-0.073684557
7.187774000	1.351184964	-0.072630878
7.187775000	1.359357238	-0.072651917
7.187776000	1.359558702	-0.071381114
7.187777000	1.351790309	-0.071523319
7.187778000	1.367899776	-0.072580569
7.187779000	1.343129754	-0.071449192
7.187780000	1.367964983	-0.071115755
7.187781000	1.341264009	-0.074491620
7.187782000	1.343721390	-0.072720110
7.187783000	1.381919622	-0.074189693
7.187784000	1.364101291	-0.072936459
7.187785000	1.347693086	-0.072173846
7.187786000	1.369203329	-0.073711688
7.187787000	1.350565195	-0.075714677
7.187788000	1.360700130	-0.072662703
7.187789000	1.347085834	-0.073981650
7.187790000	1.367555022	-0.075583383
7.187791000	1.353791475	-0.074044850
7.187792000	1.342400551	-0.073914938
7.187793000	1.347859025	-0.079220454
7.187794000	1.332919836	-0.078634958
7.187795000	1.356303573	-0.076109923
7.187796000	1.376885056	-0.076115982
7.187797000	1.368641496	-0.073489439
7.187798000	1.338390112	-0.076680480
7.187799000	1.368379354	-0.076226819
7.187800000	1.349972129	-0.073043493
7.187801000	1.354220867	-0.077197708
7.187802000	1.363576651	-0.077954171
7.187803000	1.373692393	-0.075192381
7.187804000	1.373363018	-0.074841326
7.187805000	1.346660972	-0.075172416
7.187806000	1.346369863	-0.077030536
7.187807000	1.367901802	-0.076412075
7.187808000	1.361746430	-0.076522971
7.187809000	1.368623137	-0.078839006
7.187810000	1.363377333	-0.080239704
7.187811000	1.362205148	-0.077831166
7.187812000	1.364044189	-0.077585115
7.187813000	1.358209729	-0.080049479
7.187814000	1.340904236	-0.078167232
7.187815000	1.349316835	-0.080238306
7.187816000	1.345102906	-0.080754851
7.187817000	1.337999225	-0.079925417
7.187818000	1.357117057	-0.079202236
7.187819000	1.339767098	-0.081579141
7.187820000	1.342486501	-0.083398346
7.187821000	1.348129153	-0.079669063
7.187822000	1.370309591	-0.082808597
7.187823000	1.337828755	-0.080601619
7.187824000	1.339907169	-0.081043662
7.187825000	1.360374093	-0.080222019
7.187826000	1.350456238	-0.082565284
7.187827000	1.336492300	-0.081895557
7.187828000	1.345388174	-0.080458757
7.187829000	1.359958291	-0.082251813
7.187830000	1.355316997	-0.082451434
7.187831000	1.363745689	-0.083432909
7.187832000	1.371676564	-0.084777397
7.187833000	1.362618804	-0.083903772
7.187834000	1.353946209	-0.083352981
7.187835000	1.363790751	-0.085174966
7.187836000	1.353745818	-0.081112172
7.187837000	1.357602596	-0.081368093
7.187838000	1.360079646	-0.083063670
7.187839000	1.340726614	-0.085692459
7.187840000	1.352934837	-0.084664196
7.187841000	1.338665366	-0.084122393
7.187842000	1.355502725	-0.085652204
7.187843000	1.359506965	-0.083270364
7.187844000	1.356341362	-0.087060817
7.187845000	1.353621721	-0.086098916
7.187846000	1.346677423	-0.086350876
7.187847000	1.356333017	-0.085887786
7.187848000	1.339984655	-0.089275285
7.187849000	1.354324341	-0.085062139
7.187850000	1.335062385	-0.084824727
7.187851000	1.331798911	-0.088589954
7.187852000	1.342856884	-0.088832351
7.187853000	1.328404069	-0.088362745
7.187854000	1.342752457	-0.088684546
7.187855000	1.349173903	-0.087760912
7.187856000	1.350893497	-0.089375478
7.187857000	1.350053549	-0.085790522
7.187858000	1.336280823	-0.088679136
7.187859000	1.354560018	-0.088967965
7.187860000	1.339271426	-0.090134629
7.187861000	1.337325215	-0.087543215
7.187862000	1.347980261	-0.089226399
7.187863000	1.359017372	-0.090090720
7.187864000	1.345757961	-0.091325711
7.187865000	1.346609950	-0.089778814
7.187866000	1.350930452	-0.090611426
7.187867000	1.345319867	-0.087285579
7.187868000	1.354946136	-0.091978760
7.187869000	1.335355639	-0.091280870
7.187870000	1.348707080	-0.091952711
7.187871000	1.354615927	-0.091442898
7.187872000	1.345634818	-0.092041394
7.187873000	1.332861423	-0.093119849
7.187874000	1.343767285	-0.094219285
7.187875000	1.370732427	-0.090155834
7.187876000	1.327613473	-0.091259973
7.187877000	1.321745753	-0.095713685
7.187878000	1.353622079	-0.094868556
7.187879000	1.319993496	-0.093006216
7.187880000	1.349306345	-0.093823440
7.187881000	1.350491643	-0.090676640
7.187882000	1.368475437	-0.093150351
7.187883000	1.316910386	-0.094893431
7.187884000	1.336967349	-0.092930798
7.187885000	1.341250658	-0.093820918
7.187886000	1.358349919	-0.094563066
7.187887000	1.334630251	-0.096393890
7.187888000	1.318974376	-0.092700535
7.187889000	1.334364295	-0.093270360
7.187890000	1.373329878	-0.094625692
7.187891000	1.340776563	-0.094583290
7.187892000	1.351802349	-0.096417425
7.187893000	1.339514971	-0.096182543
7.187894000	1.351858258	-0.093443074
7.187895000	1.328608036	-0.097033564
7.187896000	1.366379738	-0.095739451
7.187897000	1.330345154	-0.097310824
7.187898000	1.333431840	-0.097023752
7.187899000	1.348851323	-0.096561494
7.187900000	1.344975352	-0.097173006
7.187901000	1.334022522	-0.099429877
7.187902000	1.334750295	-0.098901622
7.187903000	1.331477642	-0.099670327
7.187904000	1.343919516	-0.098327353
7.187905000	1.352718711	-0.097632950
7.187906000	1.333362579	-0.098720286
7.187907000	1.324849010	-0.102010205
7.187908000	1.323718548	-0.103590267
7.187909000	1.352115154	-0.098626509
7.187910000	1.317887783	-0.101425250
7.187911000	1.333965421	-0.101142314
7.187912000	1.322749615	-0.099246626
7.187913000	1.337405443	-0.099360218
7.187914000	1.320410013	-0.099963391
7.187915000	1.313895106	-0.102769847
7.187916000	1.313483357	-0.101524469
7.187917000	1.328840494	-0.102642889
7.187918000	1.319135070	-0.104252370
7.187919000	1.327685237	-0.104660966
7.187920000	1.319246411	-0.102621309
7.187921000	1.332774520	-0.101889864
7.187922000	1.328886509	-0.101204682
7.187923000	1.329098344	-0.103308288
7.187924000	1.326039672	-0.103789987
7.187925000	1.299357057	-0.106555813
7.187926000	1.318403482	-0.102573672
7.187927000	1.310465693	-0.102810909
7.187928000	1.355570197	-0.103538909
7.187929000	1.324732423	-0.108523332
7.187930000	1.335277796	-0.103656763
7.187931000	1.327993989	-0.108556380
7.187932000	1.327463508	-0.106394600
7.187933000	1.312289000	-0.104640301
7.187934000	1.331386089	-0.106155432
7.187935000	1.329274654	-0.110366198
7.187936000	1.305689692	-0.106443020
7.187937000	1.336982250	-0.108945593
7.187938000	1.310081840	-0.108308598
7.187939000	1.347070217	-0.107353946
7.187940000	1.327977538	-0.109803821
7.187941000	1.339366198	-0.103800831
7.187942000	1.327996969	-0.110857293
7.187943000	1.334516168	-0.106584401
7.187944000	1.307025194	-0.107708454
7.187945000	1.310942054	-0.109759763
7.187946000	1.337344408	-0.110874695
7.187947000	1.327770114	-0.109676747
7.187948000	1.314485788	-0.109430696
7.187949000	1.322423816	-0.111504041
7.187950000	1.326171398	-0.110683646
7.187951000	1.318880081	-0.111791039
7.187952000	1.321915388	-0.108527318
7.187953000	1.314374924	-0.111091268
7.187954000	1.281373262	-0.111246406
7.187955000	1.330025315	-0.114195549
7.187956000	1.306151152	-0.114317297
7.187957000	1.324726343	-0.110577395
7.187958000	1.310214877	-0.113560626
7.187959000	1.320011497	-0.114822473
7.187960000	1.335067511	-0.113285904
7.187961000	1.296996117	-0.112159262
7.187962000	1.303475976	-0.114309440
7.187963000	1.292994738	-0.115356770
7.187964000	1.337373018	-0.117149535
7.187965000	1.337861657	-0.113669641
7.187966000	1.308643341	-0.116521462
7.187967000	1.310685635	-0.114610894
7.187968000	1.313969970	-0.117139640
7.187969000	1.292070746	-0.114176515
7.187970000	1.310190797	-0.116776876
7.187971000	1.323564649	-0.115811055
7.187972000	1.316553235	-0.115683315
7.187973000	1.302957892	-0.117514238
7.187974000	1.316575766	-0.118052913
7.187975000	1.284694195	-0.116999624
7.187976000	1.333320379	-0.119736621
7.187977000	1.315349221	-0.117863304
7.187978000	1.339791417	-0.117816524
7.187979000	1.308192611	-0.119871386
7.187980000	1.319747448	-0.120532249
7.187981000	1.315007925	-0.117791965
7.187982000	1.289348483	-0.119622988
7.187983000	1.333912134	-0.121852295
7.187984000	1.318109751	-0.122936301
7.187985000	1.316518784	-0.119605211
7.187986000	1.311197519	-0.122847793
7.187987000	1.297182679	-0.119179996
7.187988000	1.287220716	-0.120552739
7.187989000	1.307125807	-0.123455951
7.187990000	1.314868927	-0.122254582
7.187991000	1.290257931	-0.123400956
7.187992000	1.297841072	-0.121397627
7.187993000	1.321133375	-0.125019193
7.187994000	1.281991959	-0.125553373
7.187995000	1.289630055	-0.125498687
7.187996000	1.318104506	-0.123919041
7.187997000	1.274748087	-0.127400575
7.187998000	1.305436492	-0.125659725
7.187999000	1.308499217	-0.127588902
7.188000000	1.293214560	-0.124237788
7.188001000	1.287631989	-0.127924277
7.188002000	1.310360670	-0.125825523
7.188003000	1.269170046	-0.126396089
7.188004000	1.289293647	-0.125239004
7.188005000	1.301949501	-0.125675937
7.188006000	1.288754463	-0.130492705
7.188007000	1.287750244	-0.126833113
7.188008000	1.293459296	-0.130080880
7.188009000	1.312122822	-0.125305416
7.188010000	1.288422108	-0.126159026
7.188011000	1.283418775	-0.127607569
7.188012000	1.306228876	-0.129677270
7.188013000	1.290726304	-0.125983357
7.188014000	1.274758101	-0.129304261
7.188015000	1.292246938	-0.128516647
7.188016000	1.320585966	-0.129989550
7.188017000	1.285558224	-0.132333715
7.188018000	1.281896830	-0.129987478
7.188019000	1.302272201	-0.132478416
7.188020000	1.286358953	-0.131728503
7.188021000	1.301973939	-0.131120012
7.188022000	1.300929427	-0.131262158
7.188023000	1.292024255	-0.129763190
7.188024000	1.283088565	-0.131729094
7.188025000	1.278878689	-0.131380786
7.188026000	1.285383105	-0.133398188
7.188027000	1.295789480	-0.135940925
7.188028000	1.273867369	-0.135277215
7.188029000	1.269804716	-0.136247621
7.188030000	1.290150285	-0.132859739
7.188031000	1.293941855	-0.134935973
7.188032000	1.275057554	-0.136303697
7.188033000	1.273734450	-0.132772371
7.188034000	1.278609514	-0.137907062
7.188035000	1.279304743	-0.136242020
7.188036000	1.290661454	-0.138312728
7.188037000	1.278230071	-0.139521495
7.188038000	1.278319597	-0.137308916
7.188039000	1.255909920	-0.136407494
7.188040000	1.268248677	-0.139141503
7.188041000	1.278043032	-0.138248088
7.188042000	1.275290370	-0.137979624
7.188043000	1.267173409	-0.137820467
7.188044000	1.273917198	-0.138734972
7.188045000	1.262135983	-0.141338370
7.188046000	1.273748040	-0.142652074
7.188047000	1.299878597	-0.136557030
7.188048000	1.286121368	-0.139967691
7.188049000	1.281480551	-0.140936066
7.188050000	1.253005505	-0.143100267
7.188051000	1.259912372	-0.143591687
7.188052000	1.285042167	-0.140274903
7.188053000	1.269304514	-0.141356912
7.188054000	1.279966831	-0.142812846
7.188055000	1.270541787	-0.144121223
7.188056000	1.276967645	-0.144306413
7.188057000	1.265779376	-0.143053113
7.188058000	1.252597690	-0.144417517
7.188059000	1.276678443	-0.144017593
7.188060000	1.255531192	-0.144994241
7.188061000	1.277031898	-0.146706953
7.188062000	1.260402560	-0.145605736
7.188063000	1.250374317	-0.147789561
7.188064000	1.270224690	-0.145318264
7.188065000	1.270847201	-0.147841560
7.188066000	1.246394873	-0.146960419
7.188067000	1.260688186	-0.146394215
7.188068000	1.242113352	-0.146290451
7.188069000	1.281757236	-0.148275355
7.188070000	1.261620402	-0.150118929
7.188071000	1.272000432	-0.149224939
7.188072000	1.273413777	-0.147842542
7.188073000	1.273223162	-0.150393517
7.188074000	1.260483027	-0.147017994
7.188075000	1.269247890	-0.150742957
7.188076000	1.258074522	-0.151690343
7.188077000	1.263791203	-0.152365671
7.188078000	1.241561770	-0.154037537
7.188079000	1.269562602	-0.150827829
7.188080000	1.213832974	-0.150694171
7.188081000	1.234280229	-0.153812533
7.188082000	1.227952480	-0.154577027
7.188083000	1.262396932	-0.153166850
7.188084000	1.265194416	-0.153735335
7.188085000	1.250576854	-0.153299492
7.188086000	1.277047515	-0.155664962
7.188087000	1.245278001	-0.154809371
7.188088000	1.256477475	-0.155104915
7.188089000	1.234187126	-0.157947107
7.188090000	1.237117290	-0.157086973
7.188091000	1.249655962	-0.158839250
7.188092000	1.270490885	-0.157499830
7.188093000	1.229168892	-0.158450695
7.188094000	1.247759819	-0.157403989
7.188095000	1.237866044	-0.159302640
7.188096000	1.226351619	-0.158864899
7.188097000	1.271313190	-0.159398281
7.188098000	1.225982666	-0.158240638
7.188099000	1.226360559	-0.159362628
7.188100000	1.240327835	-0.160448665
7.188101000	1.223308325	-0.161180002
7.188102000	1.235452414	-0.163295451
7.188103000	1.248250246	-0.162228072
7.188104000	1.255816460	-0.164905548
7.188105000	1.245028496	-0.161850569
7.188106000	1.253598332	-0.162336530
7.188107000	1.227246761	-0.164937240
7.188108000	1.251715660	-0.163248596
7.188109000	1.234293342	-0.162746673
7.188110000	1.224594355	-0.166024026
7.188111000	1.244788170	-0.167432289
7.188112000	1.235464454	-0.168421370
7.188113000	1.219939232	-0.166372866
7.188114000	1.220584154	-0.168680529
7.188115000	1.221408486	-0.168609705
7.188116000	1.236694217	-0.166658008
7.188117000	1.215272903	-0.169062393
7.188118000	1.211316109	-0.169161163
7.188119000	1.196917415	-0.166877685
7.188120000	1.224104166	-0.170344256
7.188121000	1.207580447	-0.170347118
7.188122000	1.236986756	-0.171014274
7.188123000	1.242705703	-0.171034097
7.188124000	1.221671700	-0.170508955
7.188125000	1.210212111	-0.170539632
7.188126000	1.215264201	-0.171791251
7.188127000	1.226532698	-0.173498204
7.188128000	1.214957952	-0.172094036
7.188129000	1.230626345	-0.172928404
7.188130000	1.219091296	-0.175164610
7.188131000	1.206589818	-0.172797559
7.188132000	1.195665121	-0.176050211
7.188133000	1.203193545	-0.179720497
7.188134000	1.220388293	-0.175046566
7.188135000	1.219818830	-0.176454063
7.188136000	1.200735807	-0.177145669
7.188137000	1.191588759	-0.179447073
7.188138000	1.215539455	-0.177524204
7.188139000	1.228228569	-0.178124581
7.188140000	1.215381861	-0.178756416
7.188141000	1.183814764	-0.176869749
7.188142000	1.203831434	-0.179082620
