D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID356_106dBm_.dat
Power at KID:106dBm
resonance Frequency in GHz :7.723316
Q=12259.231746, Qc=12597.444961, Qi=456620.232890  S21min=-31.421838


Temperature in K:0.100022
GHz	dB	Rad
7.722438000	1.554279804	0.046992372
7.722439000	1.523123503	0.053246078
7.722440000	1.559271336	0.049143503
7.722441000	1.574563503	0.046426995
7.722442000	1.556766629	0.043834974
7.722443000	1.561099648	0.047925227
7.722444000	1.574435949	0.047458022
7.722445000	1.566166282	0.048055219
7.722446000	1.580618501	0.044327979
7.722447000	1.572594762	0.041632777
7.722448000	1.535021305	0.042976171
7.722449000	1.520552754	0.043590850
7.722450000	1.571948528	0.041139160
7.722451000	1.601386309	0.041576276
7.722452000	1.572950006	0.042591303
7.722453000	1.567974925	0.040978917
7.722454000	1.568251967	0.038128070
7.722455000	1.571549654	0.041305125
7.722456000	1.545102596	0.041011528
7.722457000	1.554956675	0.040378299
7.722458000	1.575272322	0.041615891
7.722459000	1.575521111	0.042814775
7.722460000	1.573709965	0.037488016
7.722461000	1.559161901	0.036928166
7.722462000	1.579111695	0.039699713
7.722463000	1.568427920	0.040878254
7.722464000	1.555542827	0.031526636
7.722465000	1.579480648	0.037041596
7.722466000	1.585994005	0.036844097
7.722467000	1.535650730	0.033951134
7.722468000	1.577911496	0.036412802
7.722469000	1.576899648	0.038102170
7.722470000	1.587332726	0.036352906
7.722471000	1.568134427	0.035779852
7.722472000	1.551962972	0.035874802
7.722473000	1.579981446	0.034959058
7.722474000	1.547553420	0.036214738
7.722475000	1.588148713	0.034890671
7.722476000	1.570054293	0.033876048
7.722477000	1.556905627	0.033544056
7.722478000	1.566407084	0.029808831
7.722479000	1.571881533	0.031550444
7.722480000	1.548579693	0.029743685
7.722481000	1.562280297	0.031362244
7.722482000	1.571932912	0.024760549
7.722483000	1.581805110	0.026153607
7.722484000	1.594359279	0.026671529
7.722485000	1.562299967	0.026914695
7.722486000	1.570025086	0.029891064
7.722487000	1.570992947	0.028425475
7.722488000	1.591459751	0.027038604
7.722489000	1.556375623	0.027324984
7.722490000	1.547297835	0.025394048
7.722491000	1.560090542	0.027028780
