D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID286_94dBm_.dat
Power at KID:94dBm
resonance Frequency in GHz :7.352663
Q=40399.247255, Qc=82220.017251, Qi=79425.290509  S21min=-5.871711


Temperature in K:0.099969
GHz	dB	Rad
7.351945000	-5.484846115	-0.135529999
7.351946000	-5.482711315	-0.133335488
7.351947000	-5.490478992	-0.134836395
7.351948000	-5.496949673	-0.133901002
7.351949000	-5.492655754	-0.134534260
7.351950000	-5.497754574	-0.134739731
7.351951000	-5.498425484	-0.134237392
7.351952000	-5.493035316	-0.134671870
7.351953000	-5.489917278	-0.135493339
7.351954000	-5.489910126	-0.134787143
7.351955000	-5.491174698	-0.135724801
7.351956000	-5.484585285	-0.136087582
7.351957000	-5.498142242	-0.135076180
7.351958000	-5.494416714	-0.135302399
7.351959000	-5.495788574	-0.135334581
7.351960000	-5.500413418	-0.135408251
7.351961000	-5.499438763	-0.135675208
7.351962000	-5.501721859	-0.135720407
7.351963000	-5.497444153	-0.135951294
7.351964000	-5.497117996	-0.135829912
7.351965000	-5.505939960	-0.136714598
7.351966000	-5.504138947	-0.136439984
7.351967000	-5.499894142	-0.136789891
7.351968000	-5.500102043	-0.134550247
7.351969000	-5.501626015	-0.137598460
7.351970000	-5.501360893	-0.136973649
7.351971000	-5.495493889	-0.137354106
7.351972000	-5.498830318	-0.136203021
7.351973000	-5.496783257	-0.137495786
7.351974000	-5.497707844	-0.136042208
7.351975000	-5.508360386	-0.136578369
7.351976000	-5.499374390	-0.136474090
7.351977000	-5.508104324	-0.136683015
7.351978000	-5.509399414	-0.137742853
7.351979000	-5.503668785	-0.137805420
7.351980000	-5.500136375	-0.137472301
7.351981000	-5.508060455	-0.137844877
7.351982000	-5.511908531	-0.138580026
7.351983000	-5.499770641	-0.138314026
7.351984000	-5.501522064	-0.138270383
7.351985000	-5.502666473	-0.137794410
7.351986000	-5.507100582	-0.138227215
7.351987000	-5.513565063	-0.137933111
7.351988000	-5.509611607	-0.138396201
7.351989000	-5.501613617	-0.139628404
7.351990000	-5.511305332	-0.137674543
7.351991000	-5.504629612	-0.139414927
7.351992000	-5.509534836	-0.138756502
7.351993000	-5.517325878	-0.138506323
7.351994000	-5.509949684	-0.138658314
7.351995000	-5.513382435	-0.138599816
7.351996000	-5.510829449	-0.139322207
7.351997000	-5.509415627	-0.138385207
7.351998000	-5.512537956	-0.139031814
7.351999000	-5.512017250	-0.139111102
7.352000000	-5.513803959	-0.139844986
7.352001000	-5.519300461	-0.139316248
7.352002000	-5.521783829	-0.137583271
7.352003000	-5.511103630	-0.139473799
7.352004000	-5.517908096	-0.140378367
7.352005000	-5.510141850	-0.139537041
7.352006000	-5.513429642	-0.140096904
7.352007000	-5.527589798	-0.140178979
7.352008000	-5.509160042	-0.140229230
7.352009000	-5.511588097	-0.140081791
7.352010000	-5.517417431	-0.140827526
7.352011000	-5.513883591	-0.140116911
7.352012000	-5.518524647	-0.141055209
7.352013000	-5.510977745	-0.140094557
7.352014000	-5.511090755	-0.140288985
7.352015000	-5.518461227	-0.141116146
7.352016000	-5.517065048	-0.141451887
7.352017000	-5.526926041	-0.141186936
7.352018000	-5.504109383	-0.141522344
7.352019000	-5.509788036	-0.141661578
7.352020000	-5.512447834	-0.141332561
7.352021000	-5.518661976	-0.142163101
7.352022000	-5.514370441	-0.141694102
7.352023000	-5.531977177	-0.142885200
7.352024000	-5.528923512	-0.141839893
7.352025000	-5.527399540	-0.143039564
7.352026000	-5.519409657	-0.142181210
7.352027000	-5.523971558	-0.140782801
7.352028000	-5.531606197	-0.141707151
7.352029000	-5.534153938	-0.142267314
7.352030000	-5.526650429	-0.144044841
7.352031000	-5.519676685	-0.142593917
7.352032000	-5.521492004	-0.141931689
7.352033000	-5.530147552	-0.142398774
7.352034000	-5.533425331	-0.144044624
7.352035000	-5.534147739	-0.143452837
7.352036000	-5.531841278	-0.143464338
7.352037000	-5.531987667	-0.143748031
7.352038000	-5.522083759	-0.143197406
7.352039000	-5.533137798	-0.144379384
7.352040000	-5.522890568	-0.143900531
7.352041000	-5.529527187	-0.142942225
7.352042000	-5.533643723	-0.143359160
7.352043000	-5.535165787	-0.144961068
7.352044000	-5.531087875	-0.144629854
7.352045000	-5.535411835	-0.143961217
7.352046000	-5.537486076	-0.143482581
7.352047000	-5.528813839	-0.143940861
7.352048000	-5.540717125	-0.144836682
7.352049000	-5.534231663	-0.144037267
7.352050000	-5.530410767	-0.145520348
7.352051000	-5.534152985	-0.144927262
7.352052000	-5.536057949	-0.145056559
7.352053000	-5.542071819	-0.144447494
7.352054000	-5.527501106	-0.143990246
7.352055000	-5.537393093	-0.145112635
7.352056000	-5.532749653	-0.145348425
7.352057000	-5.536355019	-0.146843357
7.352058000	-5.538158894	-0.146071589
7.352059000	-5.545482159	-0.146104180
7.352060000	-5.536140442	-0.145773648
7.352061000	-5.548378944	-0.146858970
7.352062000	-5.547279835	-0.145105112
7.352063000	-5.539526939	-0.146598329
7.352064000	-5.544869423	-0.145500108
7.352065000	-5.551581860	-0.145486260
7.352066000	-5.533741474	-0.146566305
7.352067000	-5.540324688	-0.146720868
7.352068000	-5.533832550	-0.146736781
7.352069000	-5.533597469	-0.147798450
7.352070000	-5.545856476	-0.146470431
7.352071000	-5.545945644	-0.147447928
7.352072000	-5.545916557	-0.147700778
7.352073000	-5.548096180	-0.147907173
7.352074000	-5.548070431	-0.147248474
7.352075000	-5.536931038	-0.147494650
7.352076000	-5.545065880	-0.147904227
7.352077000	-5.549119473	-0.147723731
7.352078000	-5.541218758	-0.148071174
7.352079000	-5.558519840	-0.148297426
7.352080000	-5.542886734	-0.148457366
7.352081000	-5.553400517	-0.149361575
7.352082000	-5.548441887	-0.148409928
7.352083000	-5.555204391	-0.149128532
7.352084000	-5.548710346	-0.149732953
7.352085000	-5.551410675	-0.149706821
7.352086000	-5.556892872	-0.149039316
7.352087000	-5.553556442	-0.149675379
7.352088000	-5.557452679	-0.150713712
7.352089000	-5.547076702	-0.149019343
7.352090000	-5.556045532	-0.149248774
7.352091000	-5.557855129	-0.150499428
7.352092000	-5.548872948	-0.149716125
7.352093000	-5.553905964	-0.150255349
7.352094000	-5.570725441	-0.149593737
7.352095000	-5.544780731	-0.149766276
7.352096000	-5.557989120	-0.151297377
7.352097000	-5.561393261	-0.151354902
7.352098000	-5.557886600	-0.150751063
7.352099000	-5.550817490	-0.151044960
7.352100000	-5.558425426	-0.151949502
7.352101000	-5.564766407	-0.150612196
7.352102000	-5.560766220	-0.149946938
7.352103000	-5.563213348	-0.150785235
7.352104000	-5.561089516	-0.151728243
7.352105000	-5.550397873	-0.151540973
7.352106000	-5.561444759	-0.151629840
7.352107000	-5.567380905	-0.151872637
7.352108000	-5.572297096	-0.151493236
