D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID31_90dBm_.dat
Power at KID:90dBm
resonance Frequency in GHz :5.803146
Q=24906.206010, Qc=43822.047759, Qi=57699.835078  S21min=-7.297340


Temperature in K:0.099954
GHz	dB	Rad
5.802523000	-6.974135399	-0.546234380
5.802524000	-6.977485657	-0.546652929
5.802525000	-6.974609375	-0.547017582
5.802526000	-6.979382038	-0.546897241
5.802527000	-6.981850624	-0.547546220
5.802528000	-6.978249550	-0.546966749
5.802529000	-6.981355190	-0.547726349
5.802530000	-6.977407455	-0.547542525
5.802531000	-6.979461193	-0.547848888
5.802532000	-6.980700016	-0.547926486
5.802533000	-6.982477188	-0.548311845
5.802534000	-6.981871605	-0.548018864
5.802535000	-6.979098320	-0.548455789
5.802536000	-6.980547428	-0.547997226
5.802537000	-6.985487938	-0.548603362
5.802538000	-6.978248596	-0.548493107
5.802539000	-6.980932236	-0.548624267
5.802540000	-6.979771614	-0.548833958
5.802541000	-6.980101109	-0.548342006
5.802542000	-6.983513832	-0.549506373
5.802543000	-6.982672691	-0.549715331
5.802544000	-6.980426311	-0.549356870
5.802545000	-6.986864567	-0.549900288
5.802546000	-6.986456394	-0.550296866
5.802547000	-6.984756947	-0.550201291
5.802548000	-6.985488415	-0.550112242
5.802549000	-6.982318401	-0.550621205
5.802550000	-6.983080864	-0.549797723
5.802551000	-6.985024452	-0.550074225
5.802552000	-6.986549854	-0.550521137
5.802553000	-6.984364986	-0.550616345
5.802554000	-6.983604908	-0.550757426
5.802555000	-6.986679554	-0.550710754
5.802556000	-6.984420300	-0.551464728
5.802557000	-6.985572815	-0.550782859
5.802558000	-6.986316681	-0.551231868
5.802559000	-6.987802982	-0.551515994
5.802560000	-6.983325481	-0.552322799
5.802561000	-6.986972809	-0.551984777
5.802562000	-6.987963676	-0.552105984
5.802563000	-6.983721256	-0.552218936
5.802564000	-6.986121655	-0.552184215
5.802565000	-6.991682529	-0.552108248
5.802566000	-6.988902569	-0.552595673
5.802567000	-6.987316608	-0.552111377
5.802568000	-6.986470222	-0.552858361
5.802569000	-6.991074562	-0.553094816
5.802570000	-6.987632275	-0.553326245
5.802571000	-6.992024422	-0.553260564
5.802572000	-6.986247540	-0.553189691
5.802573000	-6.988224506	-0.553583107
5.802574000	-6.987146854	-0.554076257
5.802575000	-6.993692398	-0.553710173
5.802576000	-6.991634846	-0.554498868
5.802577000	-6.993627548	-0.554076723
5.802578000	-6.990046978	-0.554409219
5.802579000	-6.989278793	-0.554695675
5.802580000	-6.992938995	-0.555022379
5.802581000	-6.992122173	-0.555372318
5.802582000	-6.997890472	-0.554661454
5.802583000	-6.995838642	-0.555099610
5.802584000	-6.994253635	-0.555545024
5.802585000	-6.991925716	-0.555109997
5.802586000	-6.996484756	-0.555450848
5.802587000	-6.993592262	-0.555941336
5.802588000	-6.992544174	-0.556209882
5.802589000	-6.998533726	-0.556038208
