D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID31_116dBm_.dat
Power at KID:116dBm
resonance Frequency in GHz :5.803441
Q=23213.764001, Qc=24249.363355, Qi=543568.317416  S21min=-27.390171


Temperature in K:0.100018
GHz	dB	Rad
5.802523000	0.824760318	0.060350730
5.802524000	0.818613112	0.054374942
5.802525000	0.845219970	0.043532019
5.802526000	0.778206587	0.056274050
5.802527000	0.795741081	0.057504210
5.802528000	0.719403923	0.049262139
5.802529000	0.807898104	0.049316783
5.802530000	0.764256895	0.041453842
5.802531000	0.761215925	0.057058384
5.802532000	0.823471308	0.044042156
5.802533000	0.846847415	0.057003956
5.802534000	0.813549519	0.067537799
5.802535000	0.832417667	0.052117193
5.802536000	0.789130330	0.048273294
5.802537000	0.804008186	0.065977224
5.802538000	0.752705395	0.048065559
5.802539000	0.731528103	0.053361605
5.802540000	0.791443348	0.051305753
5.802541000	0.743990481	0.042933136
5.802542000	0.725339651	0.054853545
5.802543000	0.842815757	0.060040326
5.802544000	0.791518450	0.050792470
5.802545000	0.762386203	0.058787679
5.802546000	0.781017542	0.052653283
5.802547000	0.751347721	0.045121709
5.802548000	0.730552018	0.050533436
5.802549000	0.838133395	0.046179592
5.802550000	0.730784833	0.046516940
5.802551000	0.856059015	0.056366533
5.802552000	0.813696563	0.054127975
5.802553000	0.729041278	0.045800699
5.802554000	0.750800133	0.054900479
5.802555000	0.758866072	0.058798111
5.802556000	0.796108007	0.039661909
5.802557000	0.852519572	0.056715261
5.802558000	0.840355277	0.047350904
5.802559000	0.786406040	0.045986280
5.802560000	0.763004303	0.054859271
5.802561000	0.723970056	0.064410927
5.802562000	0.819974244	0.054191874
5.802563000	0.712376058	0.050202164
5.802564000	0.789277017	0.062513853
5.802565000	0.677254558	0.058072267
5.802566000	0.736267865	0.048483913
5.802567000	0.677905023	0.041018477
5.802568000	0.726161599	0.042369944
5.802569000	0.831932008	0.051953733
5.802570000	0.782839239	0.051490484
5.802571000	0.768806159	0.050791571
5.802572000	0.769241035	0.045108352
5.802573000	0.741871774	0.051166831
5.802574000	0.761970818	0.046677944
5.802575000	0.746844411	0.047209615
5.802576000	0.867031336	0.057031274
5.802577000	0.723430216	0.048868790
5.802578000	0.748905480	0.049667293
5.802579000	0.870854616	0.047712308
5.802580000	0.698547184	0.056321650
5.802581000	0.740756571	0.050232682
5.802582000	0.742983639	0.048141992
5.802583000	0.798949897	0.044495862
5.802584000	0.846519828	0.042023579
5.802585000	0.760465205	0.047507353
5.802586000	0.771588326	0.049629513
5.802587000	0.763475239	0.048625210
5.802588000	0.819310665	0.045704634
5.802589000	0.873149157	0.040313048
5.802590000	0.811134398	0.045367444
5.802591000	0.653050065	0.040522301
5.802592000	0.769587100	0.042427356
5.802593000	0.830124199	0.048780339
5.802594000	0.768333375	0.037649495
5.802595000	0.697893500	0.057413059
5.802596000	0.772665858	0.045761363
5.802597000	0.780866086	0.046179609
5.802598000	0.863231242	0.049728966
5.802599000	0.760361016	0.048899699
5.802600000	0.738791823	0.049013000
5.802601000	0.840044737	0.038887661
