D:\KID metingen\Entropy ADR\LT343chip5_BF_20240530_mapping\S21\Power\KID243_98dBm_.dat
Power at KID:98dBm
resonance Frequency in GHz :7.114567
Q=37445.089476, Qc=43596.828096, Qi=265370.040850  S21min=-17.009140


Temperature in K:0.100068
GHz	dB	Rad
7.113797000	1.294013739	-0.140337038
7.113798000	1.271659017	-0.141462723
7.113799000	1.278173208	-0.141152348
7.113800000	1.270388603	-0.141672963
7.113801000	1.286703229	-0.141280696
7.113802000	1.298523784	-0.141707967
7.113803000	1.285550237	-0.141986184
7.113804000	1.290493488	-0.141488256
7.113805000	1.286991119	-0.142048269
7.113806000	1.278353572	-0.141248688
7.113807000	1.289889574	-0.141956856
7.113808000	1.287950993	-0.141883586
7.113809000	1.293310285	-0.142128680
7.113810000	1.287484288	-0.142527921
7.113811000	1.290220857	-0.142561643
7.113812000	1.286299944	-0.142757901
7.113813000	1.292474270	-0.142256595
7.113814000	1.302763224	-0.143793005
7.113815000	1.287940025	-0.142202183
7.113816000	1.290738344	-0.141365584
7.113817000	1.286759377	-0.142179662
7.113818000	1.291168094	-0.141022269
7.113819000	1.277316093	-0.143948001
7.113820000	1.285301208	-0.143670533
7.113821000	1.293771982	-0.141567934
7.113822000	1.291611314	-0.143475756
7.113823000	1.282424927	-0.143093926
7.113824000	1.287868381	-0.144112435
7.113825000	1.285893679	-0.142345910
7.113826000	1.277155399	-0.144432197
7.113827000	1.298496008	-0.143857071
7.113828000	1.291529417	-0.143359476
7.113829000	1.294675946	-0.143525008
7.113830000	1.289775729	-0.144383794
7.113831000	1.294658065	-0.144719369
7.113832000	1.285558939	-0.146122456
7.113833000	1.295276761	-0.145168179
7.113834000	1.289663672	-0.145214684
7.113835000	1.293496609	-0.145686663
7.113836000	1.287402511	-0.144279482
7.113837000	1.291122913	-0.145863513
7.113838000	1.294982553	-0.142954659
7.113839000	1.282422900	-0.144885584
7.113840000	1.288401246	-0.144579454
7.113841000	1.284497142	-0.145952696
7.113842000	1.289653182	-0.144644352
7.113843000	1.288253188	-0.147540373
7.113844000	1.280881643	-0.145829275
7.113845000	1.293506503	-0.146450923
7.113846000	1.287134767	-0.146367284
7.113847000	1.284279943	-0.145936035
7.113848000	1.291767955	-0.144911933
7.113849000	1.296964407	-0.146724447
7.113850000	1.288117051	-0.145962516
7.113851000	1.291367888	-0.146269779
