Frequency,dB,Rad
2.458218,55.907798767,2.145106084
2.458218,55.887908936,2.142467956
2.458218,55.868198395,2.138910373
2.458218,55.920780182,2.141348097
2.458218,55.934810638,2.147609722
2.458218,55.978607178,2.151440412
2.458218,55.890781403,2.145150026
2.458218,55.857170105,2.153238845
2.458218,55.858276367,2.15009525
2.458218,55.859027863,2.139714248
2.458218,55.833133698,2.144648153
2.458218,55.895088196,2.142480873
2.458218,55.853393555,2.142571287
2.458218,55.865333557,2.153924076
2.458218,55.866119385,2.148571788
2.458218,55.866767883,2.143359183
2.458218,55.864547729,2.145081316
2.458218,55.896133423,2.140069247
2.458218,55.919109344,2.149914288
2.458218,55.88363266,2.142546253
2.458218,55.898574829,2.154206238
2.458218,55.844356537,2.143003518
2.458218,55.895545959,2.140952085
2.458218,55.854114532,2.142820426
2.458218,55.873802185,2.139533819
2.458218,55.884300232,2.146365493
2.458218,55.842376709,2.142828682
2.458218,55.890388489,2.145918215
2.458218,55.945072174,2.145436582
2.458218,55.903297424,2.134560632
2.458218,55.92634964,2.14379248
2.458218,55.936912537,2.143340142
2.458218,55.841529846,2.143623901
2.458218,55.855941772,2.14295132
2.458218,55.889389038,2.146505841
2.458218,55.909610748,2.143711786
2.458218,55.894058228,2.148927054
2.458218,55.894821167,2.140814799
2.458218,55.916992187,2.145926071
2.458218,55.894317627,2.147929967
2.458218,55.934684753,2.142509768
2.458218,55.870498657,2.144759207
2.458218,55.801399231,2.144601148
2.458218,55.884922028,2.137009142
2.458218,55.898571014,2.146944597
2.458218,55.901512146,2.148345686
2.458218,55.932567596,2.149972212
2.458218,55.872692108,2.142276342
2.458218,55.884609222,2.141445702
2.458218,55.931518555,2.147244203
2.458218,55.868053436,2.143166104
2.458218,55.968837738,2.151779433
2.458218,55.897686005,2.144045879
2.458218,55.960857391,2.137653094
2.458218,55.929103851,2.143958794
2.458218,55.900691986,2.145901171
2.458218,55.964801788,2.139984692
2.458218,55.911071777,2.151377961
2.458218,55.892253876,2.138394119
2.458218,55.915100098,2.1433211
2.458218,55.85213089,2.144692229
2.458218,55.8163414,2.146602913
2.458218,55.88300705,2.147967384
2.458218,55.94512558,2.142669425
2.458218,55.94329071,2.150559172
2.458218,55.91986084,2.145070531
2.458218,55.899242401,2.144031099
2.458218,55.854747772,2.139390541
2.458218,55.90152359,2.147512649
2.458218,55.923141479,2.147320769
2.458218,55.95230484,2.151255589
2.458218,55.916812897,2.140477909
2.458218,55.889083862,2.151107517
2.458218,55.906509399,2.145624468
2.458218,55.883514404,2.148105868
2.458218,55.891536713,2.143658389
2.458218,55.88602829,2.150358903
2.458218,55.894348145,2.146561901
2.458218,55.877002716,2.146451246
2.458218,55.932315826,2.14718295
2.458218,55.894802094,2.142686868
2.458218,55.92168045,2.152222849
2.458218,55.937713623,2.143160911
2.458218,55.928497314,2.149160214
2.458218,55.967876434,2.148213194
2.458218,55.844562531,2.140869927
2.458218,55.88841629,2.141982595
2.458218,55.883361816,2.145336447
2.458218,55.86038208,2.139907593
2.458218,55.870140076,2.147163642
2.458218,55.89591217,2.14792464
2.458218,55.866863251,2.145556025
2.458218,55.88079834,2.144239225
2.458218,55.925525665,2.143081948
2.458218,55.905033112,2.148379109
2.458218,55.891338348,2.147191738
2.458218,55.878246307,2.154099712
2.458218,55.935279846,2.142154902
2.458218,55.90921402,2.148008663
2.458218,55.959560394,2.146840068
2.458218,55.873886108,2.145804897
2.458218,55.888088226,2.146297049
2.458218,55.894699097,2.138616759
2.458218,55.943546295,2.152467727
2.458218,55.823459625,2.147506258
2.458218,55.870693207,2.147245667
2.458218,55.90190506,2.144735105
2.458218,55.901138306,2.139836087
2.458218,55.848518372,2.142085127
2.458218,55.926567078,2.142958378
2.458218,55.903114319,2.144382769
2.458218,55.900531769,2.146335932
2.458218,55.887142181,2.145489179
2.458218,55.855480194,2.140561666
2.458218,55.931030273,2.143050656
2.458218,55.883850098,2.143673703
2.458218,55.857658386,2.147522902
2.458218,55.887928009,2.141966883
2.458218,55.911869049,2.153839787
2.458218,55.934955597,2.149439579
2.458218,55.86114502,2.139520902
2.458218,55.866039276,2.144643626
2.458218,55.907054901,2.150917767
2.458218,55.883464813,2.145380256
2.458218,55.879272461,2.140626647
2.458218,55.860733032,2.140860339
2.458218,55.832954407,2.148610804
2.458218,55.940891266,2.139105582
2.458218,55.927997589,2.14731744
2.458218,55.916538239,2.141193234
2.458218,55.934310913,2.135974371
2.458218,55.829380035,2.150940404
2.458218,55.911579132,2.141465676
2.458218,55.905910492,2.148701484
2.458218,55.91740036,2.146779082
2.458218,55.855258942,2.144426312
2.458218,55.869419098,2.143839884
2.458218,55.86863327,2.145114206
2.458218,55.95716095,2.142459701
2.458218,55.825164795,2.141466608
2.458218,55.90977478,2.145867881
2.458218,55.842697144,2.141715613
2.458218,55.909973145,2.140551413
2.458218,55.93737793,2.144820992
2.458218,55.875095367,2.142624683
2.458218,55.843242645,2.138600647
2.458218,55.882164001,2.142409367
2.458218,55.827781677,2.139821041
2.458218,55.896697998,2.144313793
2.458218,55.849330902,2.142619357
2.458218,55.871536255,2.139395068
2.458218,55.918087006,2.147614249
2.458218,55.84526062,2.149925473
2.458218,55.866153717,2.146841533
2.458218,55.853477478,2.152986511
2.458218,55.89629364,2.14876793
2.458218,55.911323547,2.149906432
2.458218,55.891796112,2.149351562
2.458218,55.881233215,2.143560918
2.458218,55.854068756,2.145065337
2.458218,55.834701538,2.137843111
2.458218,55.886322021,2.147082815
2.458218,55.995166779,2.140303206
2.458218,55.884246826,2.145483454
2.458218,55.938247681,2.138768959
2.458218,55.954277039,2.146219285
2.458218,55.912601471,2.142241987
2.458218,55.959907532,2.154486403
2.458218,55.900341034,2.147711721
2.458218,55.893051147,2.1513484
2.458218,55.886871338,2.140290955
2.458218,55.88293457,2.15340263
2.458218,55.915420532,2.149803634
2.458218,55.865467072,2.143822706
2.458218,55.953369141,2.146597188
2.458218,55.814990997,2.147832894
2.458218,55.915771484,2.137180383
2.458218,55.844573975,2.143595672
2.458218,55.872631073,2.132265386
2.458218,55.919792175,2.138419685
2.458218,55.928245544,2.152648422
2.458218,55.912948608,2.140592558
2.458218,55.849872589,2.146649652
2.458218,55.907543182,2.151514315
2.458218,55.953876495,2.140502943
2.458218,55.916465759,2.148653814
2.458218,55.927127838,2.147309983
2.458218,55.899738312,2.151050659
2.458218,55.862529755,2.141342904
2.458218,55.861789703,2.151924176
2.458218,55.89157486,2.147465511
2.458218,55.927719116,2.144868397
2.458218,55.876037598,2.140305336
2.458218,55.932624817,2.145841116
2.458218,55.926933289,2.146520622
2.458218,55.885593414,2.138033127
2.458218,55.90196991,2.142803515
2.458218,55.871955872,2.144483304
2.458218,55.924297333,2.145395836
2.458218,55.898025513,2.149830398
2.458218,55.936096191,2.141560351
2.458218,55.910511017,2.145474266
2.458218,55.88053894,2.139683755
2.458218,55.918338776,2.142468489
2.458218,55.926235199,2.152806348
2.458218,55.913368225,2.146237927
