Frequency,dB,Rad
2.458218,55.23122406,1.991597617
2.458218,55.094993591,2.047492042
2.458218,55.173938751,1.982612644
2.458218,55.320022583,1.98490203
2.458218,55.645305634,1.965053757
2.458218,55.247596741,1.969555032
2.458218,55.55405426,2.011424052
2.458218,55.520336151,1.947973707
2.458218,55.019798279,1.987374642
2.458218,55.566761017,1.951019165
2.458218,55.989398956,1.951559786
2.458218,55.581634521,1.907163826
2.458218,55.598312378,1.976247423
2.458218,55.615386963,2.005030601
2.458218,55.790771484,1.984699098
2.458218,55.59223175,1.956778384
2.458218,55.77633667,2.009251845
2.458218,55.721538544,1.957973477
2.458218,55.403156281,1.948015651
2.458218,55.546089172,1.945031313
2.458218,55.370563507,1.960370855
2.458218,55.429439545,1.992753828
2.458218,55.821453094,1.944525046
2.458218,55.81142807,2.008354493
2.458218,55.415851593,1.954185929
2.458218,55.220855713,1.919361503
2.458218,55.694034576,2.008342509
2.458218,55.490707397,2.033641074
2.458218,55.474201202,1.996173327
2.458218,55.528060913,2.001182866
2.458218,55.605667114,1.970958252
2.458218,55.433166504,2.012402365
2.458218,55.539951324,1.98073192
2.458218,55.500900269,2.030447278
2.458218,55.818309784,2.01494342
2.458218,56.057178497,1.987923653
2.458218,55.795764923,1.992562347
2.458218,55.72776413,1.992286044
2.458218,55.621238708,1.957385851
2.458218,55.56003952,2.025723896
2.458218,55.459716797,1.991478307
2.458218,55.515407562,1.969702571
2.458218,55.626792908,2.0212129
2.458218,55.618339539,1.999935841
2.458218,55.821716309,1.968633712
2.458218,55.89591217,2.001206835
2.458218,55.712997437,1.962350782
2.458218,55.697605133,1.969410422
2.458218,55.439620972,2.001481274
2.458218,55.703884125,1.934143512
2.458218,55.445163727,2.000809225
2.458218,55.609592438,1.989845656
2.458218,55.208175659,1.946953183
2.458218,55.657436371,1.955044932
2.458218,55.349765778,1.971041342
2.458218,55.289642334,1.977640256
2.458218,55.65725708,2.006928237
2.458218,55.846961975,1.970320558
2.458218,55.742164612,1.94036652
2.458218,55.438671112,1.958066421
2.458218,55.422386169,1.960353012
2.458218,55.530834198,1.942917296
2.458218,56.079078674,2.002529227
2.458218,55.584415436,1.998859391
2.458218,55.652950287,1.944004265
2.458218,55.640556335,1.987780774
2.458218,55.697753906,1.981304366
2.458218,55.552536011,2.008949843
2.458218,55.73249054,2.006001324
2.458218,55.452384949,1.965381592
2.458218,55.692745209,1.931193129
2.458218,55.363716125,1.96220777
2.458218,56.089290619,1.967047799
2.458218,55.943378448,1.992969811
2.458218,55.78338623,1.955405524
2.458218,55.576808929,2.036788664
2.458218,55.471817017,2.023701758
2.458218,55.597614288,1.980046955
2.458218,55.572517395,1.95440817
2.458218,54.976528168,1.964590101
2.458218,55.699577332,1.977491518
2.458218,55.902980804,1.962937743
2.458218,56.004772186,1.996742977
2.458218,55.546318054,1.991399877
2.458218,55.311824799,1.984918143
2.458218,55.517002106,1.987179433
2.458218,56.028358459,1.941937652
2.458218,55.351520538,1.949015402
2.458218,55.707748413,2.017555315
2.458218,55.421234131,1.979593418
2.458218,55.75761795,1.98047093
2.458218,55.376506805,1.984404685
2.458218,55.322502136,1.995850019
2.458218,55.333450317,2.032854776
2.458218,55.519527435,1.949712884
2.458218,55.579421997,1.968546227
2.458218,55.543205261,1.942718091
2.458218,55.254375458,2.011343092
2.458218,55.734107971,1.963020434
2.458218,55.386119843,1.988294365
2.458218,55.9179039,1.975977511
2.458218,54.840713501,1.973130193
2.458218,55.623771667,2.006288013
2.458218,55.638442993,2.004753366
2.458218,55.925357819,1.958720094
2.458218,55.878578186,1.968491499
2.458218,55.543498993,2.004561752
2.458218,55.450515747,1.976173121
2.458218,55.546600342,2.012741385
2.458218,55.416584015,1.989210093
2.458218,55.334896088,1.936700146
2.458218,55.442314148,1.996885989
2.458218,55.251781464,2.059309686
2.458218,55.626415253,1.930865427
2.458218,55.648319244,1.987594753
2.458218,55.962371826,1.964526318
2.458218,55.414203644,2.000811888
2.458218,55.164802551,1.97360357
2.458218,55.47926712,1.969671013
2.458218,55.639938354,1.999274312
2.458218,55.540782928,2.004221001
2.458218,55.561748505,2.007196151
2.458218,55.668209076,1.971982503
2.458218,55.636123657,2.073178364
2.458218,55.899066925,1.967886695
2.458218,55.400382996,1.953290442
2.458218,55.67829895,1.996660286
2.458218,55.997009277,1.967270839
2.458218,55.779655457,1.989101569
2.458218,55.753570557,1.95338059
2.458218,55.338005066,1.93680654
2.458218,55.327316284,1.993082862
2.458218,55.888755798,2.009537203
2.458218,55.745769501,2.034990098
2.458218,54.932865143,2.03919989
2.458218,55.296337128,1.975893355
2.458218,55.778781891,2.008124396
2.458218,55.697891235,1.996146163
2.458218,55.687545776,1.954263827
2.458218,55.525524139,1.938065016
2.458218,55.512176514,1.991236226
2.458218,55.484405518,1.984588576
2.458218,55.334671021,1.968203744
2.458218,55.832015991,1.954063025
2.458218,55.870391846,1.987992629
2.458218,55.498149872,1.941315005
2.458218,55.5795784,2.02081569
2.458218,55.588111877,2.01094242
2.458218,55.553440094,1.968385638
2.458218,55.574142456,1.94847771
2.458218,55.768943787,2.01416591
2.458218,55.174846649,1.992910689
2.458218,55.350090027,2.02238043
2.458218,55.466415405,1.98714348
2.458218,55.336578369,1.966819167
2.458218,55.515731812,1.965474803
2.458218,55.172908783,1.94323328
2.458218,55.997501373,1.957016737
2.458218,55.36114502,1.989774284
2.458218,55.270359039,1.971026695
2.458218,55.32251358,2.016266079
2.458218,55.715515137,1.964295822
2.458218,55.771308899,2.009267558
2.458218,55.484054565,1.995833774
2.458218,55.507400513,2.003576516
2.458218,55.294670105,1.927833551
2.458218,55.216060638,1.931907655
2.458218,55.333583832,2.005055502
2.458218,55.148086548,2.024075266
2.458218,55.803916931,1.955186213
2.458218,55.205078125,1.957801703
2.458218,55.565639496,1.957676934
2.458218,55.934761047,1.933166797
2.458218,55.761730194,1.974330613
2.458218,55.647228241,1.966715836
2.458218,55.480625153,1.972872665
2.458218,55.659896851,1.983406266
2.458218,55.313995361,2.000052754
2.458218,55.569278717,1.979814328
2.458218,55.235832214,2.02200053
2.458218,55.946075439,1.948238824
2.458218,55.80065918,1.979195675
2.458218,55.506004333,1.959922112
2.458218,55.311290741,1.976360341
2.458218,55.362033844,1.947569838
2.458218,55.849182129,1.921243293
2.458218,55.34368515,1.990882558
2.458218,55.583827972,1.969762892
2.458218,55.389945984,1.946959708
2.458218,55.948192596,2.026374373
2.458218,55.692344666,1.97745237
2.458218,55.830032349,1.986436677
2.458218,55.808612823,1.9482319
2.458218,55.236228943,1.990880028
2.458218,55.405368805,1.943263241
2.458218,55.26077652,1.934349774
2.458218,55.725730896,2.020656433
2.458218,55.173137665,1.998624634
2.458218,55.705646515,2.003809009
2.458218,55.566116333,1.994682356
2.458218,55.307430267,2.01586008
2.458218,55.347629547,1.971633629
